epoch,eval/knn_probe_top1,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_epoch,fit/inv_step,fit/loss_epoch,fit/loss_step,fit/sigreg_epoch,fit/sigreg_step,hparams/lr_default_0,hparams/lr_linear_probe,lr-AdamW,lr-AdamW-1,queue/embedding_fill_pct,queue/label_fill_pct,rankme,rankme/condition_number,rankme/entropy,rankme/top_singular_value,step,train/linear_probe_loss_epoch,train/linear_probe_loss_step,validate/inv_epoch,validate/inv_step,validate/loss_epoch,validate/loss_step,validate/sigreg_epoch,validate/sigreg_step
,,,,,,,,,,,,,,1.2780090497737552e-05,0.03,,,,,,,49,,,,,,,,
0,,,,,,,0.3958680033683777,,3.265061378479004,,127.0625,1.2959276318724733e-05,0.029999999329447746,,,1.0,1.0,,,,,49,,2.295363426208496,,,,,,
,,,,,,,,,,,,,,2.1739366515837093e-05,0.03,,,,,,,99,,,,,,,,
0,,,,,,,0.5941059589385986,,2.101313591003418,,63.25,2.1918551283306442e-05,0.029999999329447746,,,1.0,1.0,,,,,99,,2.259331703186035,,,,,,
,,,,,,,,,,,,,,3.06986425339366e-05,0.03,,,,,,,149,,,,,,,,
0,,,,,,,0.6185480952262878,,1.7149890661239624,,45.625,3.087782897637226e-05,0.029999999329447746,,,1.0,1.0,,,,,149,,2.5227575302124023,,,,,,
,,,,,,,,,,,,,,3.9657918552036127e-05,0.03,,,,,,,199,,,,,,,,
0,,,,,,,0.6657025814056396,,1.6187598705291748,,39.5,3.983710485044867e-05,0.029999999329447746,,,1.0,1.0,,,,,199,,2.7790396213531494,,,,,,
,,,0.009548611007630825,,0.3203125,,,,,,,,,,,1.0,1.0,,,,,0,,,,0.0,,0.0,,0.0
,,,0.01015624962747097,,0.2734375,,,,,,,,,,,1.0,1.0,,,,,1,,,,0.0,,0.0,,0.0
,,,0.009900989942252636,,0.44976162910461426,,,,,,,,,,,1.0,1.0,,,,,2,,,,0.0,,0.0,,0.0
,,,0.009114583022892475,,0.6484375,,,,,,,,,,,1.0,1.0,,,,,3,,,,0.0,,0.0,,0.0
,,,0.0078125,,0.6953125,,,,,,,,,,,1.0,1.0,,,,,4,,,,0.0,,0.0,,0.0
,,,0.0743589773774147,,0.870192289352417,,,,,,,,,,,1.0,1.0,,,,,5,,,,0.0,,0.0,,0.0
,,,0.06718750298023224,,0.9375,,,,,,,,,,,1.0,1.0,,,,,6,,,,0.0,,0.0,,0.0
,,,0.06093750149011612,,0.96875,,,,,,,,,,,1.0,1.0,,,,,7,,,,0.0,,0.0,,0.0
,,,0.08653516322374344,,0.9356775283813477,,,,,,,,,,,1.0,1.0,,,,,8,,,,0.0,,0.0,,0.0
,,,0.0381944440305233,,0.859375,,,,,,,,,,,1.0,1.0,,,,,9,,,,0.0,,0.0,,0.0
,,,0.052734375,,0.828125,,,,,,,,,,,1.0,1.0,,,,,10,,,,0.0,,0.0,,0.0
