epoch,eval/knn_probe_top1,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_epoch,fit/inv_step,fit/loss_epoch,fit/loss_step,fit/sigreg_epoch,fit/sigreg_step,lr-AdamW,lr-AdamW-1,queue/embedding_fill_pct,queue/label_fill_pct,rankme,rankme/condition_number,rankme/entropy,rankme/top_singular_value,step,train/linear_probe_loss_epoch,train/linear_probe_loss_step,train/pcgrad_conflict_epoch,train/pcgrad_conflict_step,train/pcgrad_cosine_epoch,train/pcgrad_cosine_step,validate/inv_epoch,validate/inv_step,validate/loss_epoch,validate/loss_step,validate/sigreg_epoch,validate/sigreg_step
,,,,,,,,,,,,1.2780090497737552e-05,0.03,,,,,,,49,,,,,,,,,,,,
0,,,,,,,0.15211345255374908,,4.527113437652588,,218.0,,,1.0,1.0,,,,,49,,2.1881542205810547,,1.0,,-0.7499724626541138,,,,,,
,,,,,,,,,,,,2.1739366515837093e-05,0.03,,,,,,,99,,,,,,,,,,,,
0,,,,,,,0.22600741684436798,,3.2260074615478516,,150.0,,,1.0,1.0,,,,,99,,2.3707327842712402,,1.0,,-0.7135758996009827,,,,,,
,,,,,,,,,,,,3.06986425339366e-05,0.03,,,,,,,149,,,,,,,,,,,,
0,,,,,,,0.29915851354599,,2.3304085731506348,,101.5,,,1.0,1.0,,,,,149,,2.6264238357543945,,1.0,,-0.7311456799507141,,,,,,
,,,,,,,,,,,,3.9657918552036127e-05,0.03,,,,,,,199,,,,,,,,,,,,
0,,,,,,,0.4312930107116699,,1.61098051071167,,59.0,,,1.0,1.0,,,,,199,,3.0199508666992188,,1.0,,-0.6655429005622864,,,,,,
,,,0.02734375,,0.6171875,,,,,,,,,1.0,1.0,,,,,0,,,,,,,,0.0,,0.0,,0.0
,,,0.0263671875,,0.59375,,,,,,,,,1.0,1.0,,,,,1,,,,,,,,0.0,,0.0,,0.0
,,,0.029702970758080482,,0.523102343082428,,,,,,,,,1.0,1.0,,,,,2,,,,,,,,0.0,,0.0,,0.0
,,,0.0008680555620230734,,0.296875,,,,,,,,,1.0,1.0,,,,,3,,,,,,,,0.0,,0.0,,0.0
,,,0.0017361111240461469,,0.234375,,,,,,,,,1.0,1.0,,,,,4,,,,,,,,0.0,,0.0,,0.0
,,,0.0364583320915699,,0.6105769276618958,,,,,,,,,1.0,1.0,,,,,5,,,,,,,,0.0,,0.0,,0.0
,,,0.0457589291036129,,0.9921875,,,,,,,,,1.0,1.0,,,,,6,,,,,,,,0.0,,0.0,,0.0
,,,0.0380859375,,0.9921875,,,,,,,,,1.0,1.0,,,,,7,,,,,,,,0.0,,0.0,,0.0
,,,0.10023584961891174,,0.9678387641906738,,,,,,,,,1.0,1.0,,,,,8,,,,,,,,0.0,,0.0,,0.0
,,,0.0556640625,,0.9453125,,,,,,,,,1.0,1.0,,,,,9,,,,,,,,0.0,,0.0,,0.0
,,,0.0602678582072258,,0.9375,,,,,,,,,1.0,1.0,,,,,10,,,,,,,,0.0,,0.0,,0.0
,,,0.0758928582072258,,0.9453125,,,,,,,,,1.0,1.0,,,,,11,,,,,,,,0.0,,0.0,,0.0
,,,0.054476190358400345,,0.7799999713897705,,,,,,,,,1.0,1.0,,,,,12,,,,,,,,0.0,,0.0,,0.0
,,,0.0048828125,,0.5625,,,,,,,,,1.0,1.0,,,,,13,,,,,,,,0.0,,0.0,,0.0
,,,0.0078125,,0.515625,,,,,,,,,1.0,1.0,,,,,14,,,,,,,,0.0,,0.0,,0.0
,,,0.053428780287504196,,0.8081232309341431,,,,,,,,,1.0,1.0,,,,,15,,,,,,,,0.0,,0.0,,0.0
,,,0.04296875,,0.953125,,,,,,,,,1.0,1.0,,,,,16,,,,,,,,0.0,,0.0,,0.0
,,,0.056640625,,0.921875,,,,,,,,,1.0,1.0,,,,,17,,,,,,,,0.0,,0.0,,0.0
,,,0.09987631440162659,,0.8825757503509521,,,,,,,,,1.0,1.0,,,,,18,,,,,,,,0.0,,0.0,,0.0
,,,0.0513392873108387,,0.859375,,,,,,,,,1.0,1.0,,,,,19,,,,,,,,0.0,,0.0,,0.0
