epoch,eval/knn_probe_top1,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_epoch,fit/inv_step,fit/loss_epoch,fit/loss_step,fit/sigreg_epoch,fit/sigreg_step,hparams/lr_default_0,hparams/lr_linear_probe,lr-AdamW,lr-AdamW-1,queue/embedding_fill_pct,queue/label_fill_pct,rankme,rankme/condition_number,rankme/entropy,rankme/top_singular_value,step,train/drop_path_rate,train/linear_probe_loss_epoch,train/linear_probe_loss_step,validate/inv_epoch,validate/inv_step,validate/loss_epoch,validate/loss_step,validate/sigreg_epoch,validate/sigreg_step
,,,,,,,,,,,,,,1.2780090497737552e-05,0.03,,,,,,,49,,,,,,,,,
0,,,,,,,0.41422465443611145,,2.759927749633789,,117.3125,1.2959276318724733e-05,0.029999999329447746,,,1.0,1.0,,,,,49,,,2.221489906311035,,,,,,
,,,,,,,,,,,,,,2.1739366515837093e-05,0.03,,,,,,,99,,,,,,,,,
0,,,,,,,0.6025224328041077,,1.895491123199463,,64.625,2.1918551283306442e-05,0.029999999329447746,,,1.0,1.0,,,,,99,,,2.2883403301239014,,,,,,
,,,,,,,,,,,,,,3.06986425339366e-05,0.03,,,,,,,149,,,,,,,,,
0,,,,,,,0.6397334933280945,,1.5567257404327393,,45.84375,3.087782897637226e-05,0.029999999329447746,,,1.0,1.0,,,,,149,,,2.4304862022399902,,,,,,
,,,,,,,,,,,,,,3.9657918552036127e-05,0.03,,,,,,,199,,,,,,,,,
0,,,,,,,0.647228479385376,,1.471447229385376,,41.21875,3.983710485044867e-05,0.029999999329447746,,,1.0,1.0,,,,,199,,,2.5571558475494385,,,,,,
,,,0.0015625000232830644,,0.265625,,,,,,,,,,,1.0,1.0,,,,,0,,,,,0.0,,0.0,,0.0
,,,0.0008680555620230734,,0.2265625,,,,,,,,,,,1.0,1.0,,,,,1,,,,,0.0,,0.0,,0.0
,,,0.012345679104328156,,0.5212687849998474,,,,,,,,,,,1.0,1.0,,,,,2,,,,,0.0,,0.0,,0.0
,,,0.015625,,0.7890625,,,,,,,,,,,1.0,1.0,,,,,3,,,,,0.0,,0.0,,0.0
,,,0.0185546875,,0.7578125,,,,,,,,,,,1.0,1.0,,,,,4,,,,,0.0,,0.0,,0.0
,,,0.0644586831331253,,0.870192289352417,,,,,,,,,,,1.0,1.0,,,,,5,,,,,0.0,,0.0,,0.0
