epoch,eval/knn_probe_top1,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_epoch,fit/inv_step,fit/loss_epoch,fit/loss_step,fit/sigreg_epoch,fit/sigreg_step,hparams/lr_default_0,hparams/lr_linear_probe,lr-AdamW,lr-AdamW-1,queue/embedding_fill_pct,queue/label_fill_pct,rankme,rankme/condition_number,rankme/entropy,rankme/top_singular_value,step,swa/n_averaged,train/linear_probe_loss_epoch,train/linear_probe_loss_step,validate/inv_epoch,validate/inv_step,validate/loss_epoch,validate/loss_step,validate/sigreg_epoch,validate/sigreg_step
,,,0.08843101561069489,,0.9223443269729614,,,,,,,,,,,1.0,1.0,,,,,39,,,,,0.0,,0.0,,0.0
,,,0.0303819440305233,,0.8671875,,,,,,,,,,,1.0,1.0,,,,,40,,,,,0.0,,0.0,,0.0
,,,0.029296875,,0.8828125,,,,,,,,,,,1.0,1.0,,,,,41,,,,,0.0,,0.0,,0.0
,,,0.10284091532230377,,0.8261363506317139,,,,,,,,,,,1.0,1.0,,,,,42,,,,,0.0,,0.0,,0.0
,,,0.0615234375,,0.6953125,,,,,,,,,,,1.0,1.0,,,,,43,,,,,0.0,,0.0,,0.0
,,,0.0794270858168602,,0.6640625,,,,,,,,,,,1.0,1.0,,,,,44,,,,,0.0,,0.0,,0.0
,,,0.06118759512901306,,0.6035670042037964,,,,,,,,,,,1.0,1.0,,,,,45,,,,,0.0,,0.0,,0.0
,,,0.0009765625,,0.4609375,,,,,,,,,,,1.0,1.0,,,,,46,,,,,0.0,,0.0,,0.0
,,,0.0022321429569274187,,0.3984375,,,,,,,,,,,1.0,1.0,,,,,47,,,,,0.0,,0.0,,0.0
,,,0.0026041667442768812,,0.4765625,,,,,,,,,,,1.0,1.0,,,,,48,,,,,0.0,,0.0,,0.0
,,,0.02066929079592228,,0.4448818862438202,,,,,,,,,,,1.0,1.0,,,,,49,,,,,0.0,,0.0,,0.0
,,,0.0234375,,0.8203125,,,,,,,,,,,1.0,1.0,,,,,50,,,,,0.0,,0.0,,0.0
,,,0.0244140625,,0.875,,,,,,,,,,,1.0,1.0,,,,,51,,,,,0.0,,0.0,,0.0
,,,0.050646550953388214,,0.8606321811676025,,,,,,,,,,,1.0,1.0,,,,,52,,,,,0.0,,0.0,,0.0
,,,0.0107421875,,0.8515625,,,,,,,,,,,1.0,1.0,,,,,53,,,,,0.0,,0.0,,0.0
,,,0.01171875,,0.8671875,,,,,,,,,,,1.0,1.0,,,,,54,,,,,0.0,,0.0,,0.0
,,,0.096488818526268,,0.9283095002174377,,,,,,,,,,,1.0,1.0,,,,,55,,,,,0.0,,0.0,,0.0
,,,0.0970982164144516,,0.9609375,,,,,,,,,,,1.0,1.0,,,,,56,,,,,0.0,,0.0,,0.0
,,,0.0771484375,,0.9453125,,,,,,,,,,,1.0,1.0,,,,,57,,,,,0.0,,0.0,,0.0
,,,0.1158854141831398,,0.9010416269302368,,,,,,,,,,,1.0,1.0,,,,,58,,,,,0.0,,0.0,,0.0
,,,0.0390625,,0.828125,,,,,,,,,,,1.0,1.0,,,,,59,,,,,0.0,,0.0,,0.0
,,,0.0520833320915699,,0.8515625,,,,,,,,,,,1.0,1.0,,,,,60,,,,,0.0,,0.0,,0.0
,,,0.0317460335791111,,0.6495016813278198,,,,,,,,,,,1.0,1.0,,,,,61,,,,,0.0,,0.0,,0.0
,,,0.0017361111240461469,,0.4453125,,,,,,,,,,,1.0,1.0,,,,,62,,,,,0.0,,0.0,,0.0
,,,0.0,,0.46875,,,,,,,,,,,1.0,1.0,,,,,63,,,,,0.0,,0.0,,0.0
,,,0.0,,0.3660767078399658,,,,,,,,,,,1.0,1.0,,,,,64,,,,,0.0,,0.0,,0.0
,,,0.0,,0.2265625,,,,,,,,,,,1.0,1.0,,,,,65,,,,,0.0,,0.0,,0.0
,,,0.0,,0.328125,,,,,,,,,,,1.0,1.0,,,,,66,,,,,0.0,,0.0,,0.0
,,,0.061616163700819016,,0.6025252342224121,,,,,,,,,,,1.0,1.0,,,,,67,,,,,0.0,,0.0,,0.0
,,,0.0814732164144516,,0.90625,,,,,,,,,,,1.0,1.0,,,,,68,,,,,0.0,,0.0,,0.0
,,,0.056640625,,0.9140625,,,,,,,,,,,1.0,1.0,,,,,69,,,,,0.0,,0.0,,0.0
,,,0.10555554926395416,,0.9305555820465088,,,,,,,,,,,1.0,1.0,,,,,70,,,,,0.0,,0.0,,0.0
,,,0.03125,,0.8828125,,,,,,,,,,,1.0,1.0,,,,,71,,,,,0.0,,0.0,,0.0
,,,0.0322265625,,0.8671875,,,,,,,,,,,1.0,1.0,,,,,72,,,,,0.0,,0.0,,0.0
,,,0.09254796802997589,,0.8239625096321106,,,,,,,,,,,1.0,1.0,,,,,73,,,,,0.0,,0.0,,0.0
,,,0.0680803582072258,,0.7265625,,,,,,,,,,,1.0,1.0,,,,,74,,,,,0.0,,0.0,,0.0
,,,0.0615234375,,0.65625,,,,,,,,,,,1.0,1.0,,,,,75,,,,,0.0,,0.0,,0.0
,,,0.05517358332872391,,0.6291061639785767,,,,,,,,,,,1.0,1.0,,,,,76,,,,,0.0,,0.0,,0.0
,,,0.0011160714784637094,,0.421875,,,,,,,,,,,1.0,1.0,,,,,77,,,,,0.0,,0.0,,0.0
,,,0.001953125,,0.4140625,,,,,,,,,,,1.0,1.0,,,,,78,,,,,0.0,,0.0,,0.0
,,,0.02374800108373165,,0.6788482666015625,,,,,,,,,,,1.0,1.0,,,,,79,,,,,0.0,,0.0,,0.0
,,,0.0205078125,,0.875,,,,,,,,,,,1.0,1.0,,,,,80,,,,,0.0,,0.0,,0.0
,,,0.0205078125,,0.859375,,,,,,,,,,,1.0,1.0,,,,,81,,,,,0.0,,0.0,,0.0
,,,0.06779419630765915,,0.9117059707641602,,,,,,,,,,,1.0,1.0,,,,,82,,,,,0.0,,0.0,,0.0
,,,0.0146484375,,0.8515625,,,,,,,,,,,1.0,1.0,,,,,83,,,,,0.0,,0.0,,0.0
,,,0.0078125,,0.8828125,,,,,,,,,,,1.0,1.0,,,,,84,,,,,0.0,,0.0,,0.0
,,,0.13265305757522583,,0.90625,,,,,,,,,,,1.0,1.0,,,,,85,,,,,0.0,,0.0,,0.0
,,,0.0771484375,,0.9453125,,,,,,,,,,,1.0,1.0,,,,,86,,,,,0.0,,0.0,,0.0
,,,0.078125,,0.9375,,,,,,,,,,,1.0,1.0,,,,,87,,,,,0.0,,0.0,,0.0
,,,0.1224331259727478,,0.9786324501037598,,,,,,,,,,,1.0,1.0,,,,,88,,,,,0.0,,0.0,,0.0
,,,0.0401785708963871,,0.84375,,,,,,,,,,,1.0,1.0,,,,,89,,,,,0.0,,0.0,,0.0
,,,0.0334821417927742,,0.8359375,,,,,,,,,,,1.0,1.0,,,,,90,,,,,0.0,,0.0,,0.0
,,,0.06299212574958801,,0.8582677245140076,,,,,,,,,,,1.0,1.0,,,,,91,,,,,0.0,,0.0,,0.0
0,0.27419978380203247,0.25232818722724915,,0.7205227017402649,,,,,,,,,,,,,,96.02156066894531,1595291.25,4.564572811126709,340.8987731933594,220,,,,0.0,,0.0,,0.0,
0,,,,,,0.5193854570388794,,2.3934531211853027,,93.70305633544922,,,,,,,,,,,,220,,2.6188745498657227,,,,,,,
,,,,,,,,,,,,,,4.861719457013563e-05,0.03,,,,,,,249,,,,,,,,,
1,,,,,,,0.6520612239837646,,1.2946393489837646,,32.125,4.879638072452508e-05,0.029999999329447746,,,1.0,1.0,,,,,249,,,2.185126304626465,,,,,,
,,,,,,,,,,,,,,5.757647058823518e-05,0.03,,,,,,,299,,,,,,,,,
1,,,,,,,0.6462682485580444,,1.2732213735580444,,31.359375,5.775565659860149e-05,0.029999999329447746,,,1.0,1.0,,,,,299,,,2.703549861907959,,,,,,
,,,,,,,,,,,,,,6.653574660633477e-05,0.03,,,,,,,349,,,,,,,,,
1,,,,,,,0.6658239364624023,,1.1843786239624023,,25.921875,6.67149288346991e-05,0.029999999329447746,,,1.0,1.0,,,,,349,,,2.684218406677246,,,,,,
,,,,,,,,,,,,,,7.54950226244342e-05,0.03,,,,,,,399,,,,,,,,,
1,,,,,,,0.6477967500686646,,1.1058045625686646,,22.90625,7.567420834675431e-05,0.029999999329447746,,,1.0,1.0,,,,,399,,,2.2762794494628906,,,,,,
