epoch,fit/inv_step,fit/loss_step,fit/sigreg_step,hparams/lr_default_0,hparams/lr_inet_probe,lr-AdamW,lr-AdamW-1,queue/embedding_fill_pct,step,train/inet_probe_loss_step
,,,,,,6.484257871064468e-06,0.001,,49,
0,0.17262893915176392,6.453878879547119,125.5,6.484257937700022e-06,0.0010000000474974513,,,1.0,49,7.361083984375
,,,,,,7.968515742128934e-06,0.001,,99,
0,0.2095431089401245,5.584543228149414,107.5,7.968516001710668e-06,0.0010000000474974513,,,1.0,99,7.0517578125
,,,,,,9.4527736131934e-06,0.001,,149,
0,0.25892430543899536,4.57142448425293,86.0,9.452774065721314e-06,0.0010000000474974513,,,1.0,149,7.2864990234375
,,,,,,1.0937031484257862e-05,0.001,,199,
0,0.3402097821235657,3.933959722518921,72.0,1.1184407412656583e-05,0.0010000000474974513,,,1.0,199,7.3984375
,,,,,,1.266866566716641e-05,0.001,,249,
0,0.39190810918807983,3.2981581687927246,58.0,1.2668665476667229e-05,0.0010000000474974513,,,1.0,249,7.4195556640625
,,,,,,1.4152923538230877e-05,0.001,,299,
0,0.4584996998310089,2.8647496700286865,48.25,1.4152923540677875e-05,0.0010000000474974513,,,1.0,299,7.346435546875
,,,,,,1.5637181409295344e-05,0.001,,349,
0,0.4783132076263428,2.6970632076263428,44.5,1.563718069519382e-05,0.0010000000474974513,,,1.0,349,7.1094970703125
,,,,,,1.7121439280359813e-05,0.001,,399,
0,0.5269362926483154,2.4409987926483154,38.25,1.736881495162379e-05,0.0010000000474974513,,,1.0,399,7.102783203125
,,,,,,1.885307346326836e-05,0.001,,449,
0,0.5891175270080566,2.3000550270080566,34.25,1.8853073925129138e-05,0.0010000000474974513,,,1.0,449,7.414306640625
,,,,,,2.0337331334332823e-05,0.001,,499,
0,0.5827323198318481,2.0671072006225586,29.75,2.0337331079645082e-05,0.0010000000474974513,,,1.0,499,7.26708984375
,,,,,,2.1821589205397295e-05,0.001,,549,
0,0.5856343507766724,1.9840718507766724,28.0,2.182159005315043e-05,0.0010000000474974513,,,1.0,549,6.9365234375
,,,,,,2.3305847076461764e-05,0.001,,599,
0,0.6011626720428467,1.9214751720428467,26.375,2.3553222490590997e-05,0.0010000000474974513,,,1.0,599,7.331787109375
,,,,,,2.5037481259370315e-05,0.001,,649,
0,0.6107051372528076,1.8216426372528076,24.25,2.5037481464096345e-05,0.0010000000474974513,,,1.0,649,7.184814453125
,,,,,,2.6521739130434784e-05,0.001,,699,
0,0.6487396359443665,1.8362395763397217,23.75,2.652173861861229e-05,0.0010000000474974513,,,1.0,699,7.2513427734375
,,,,,,2.8005997001499256e-05,0.001,,749,
0,0.6439896821975708,1.8080521821975708,23.25,2.8005997592117637e-05,0.0010000000474974513,,,1.0,749,7.049560546875
,,,,,,2.949025487256372e-05,0.001,,799,
0,0.6518265008926392,1.6596390008926392,20.125,2.9737631848547608e-05,0.0010000000474974513,,,1.0,799,7.41650390625
