epoch,eval/knn_probe_top1,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_epoch,fit/inv_step,fit/loss_epoch,fit/loss_step,fit/sigreg_epoch,fit/sigreg_step,hparams/lr_default_0,hparams/lr_linear_probe,lr-AdamW,lr-Muon,queue/embedding_fill_pct,queue/label_fill_pct,rankme,rankme/condition_number,rankme/entropy,rankme/top_singular_value,step,train/linear_probe_loss_epoch,train/linear_probe_loss_step,validate/inv_epoch,validate/inv_step,validate/loss_epoch,validate/loss_step,validate/sigreg_epoch,validate/sigreg_step
,,,,,,,,,,,,,,0.03,1.2780090497737552e-05,,,,,,,49,,,,,,,,
0,,,,,,,0.20399445295333862,,4.989150524139404,,239.25,1.2959276318724733e-05,0.029999999329447746,,,1.0,1.0,,,,,49,,2.4359264373779297,,,,,,
,,,,,,,,,,,,,,0.03,2.1739366515837093e-05,,,,,,,99,,,,,,,,
0,,,,,,,0.24190616607666016,,4.33565616607666,,204.75,2.1918551283306442e-05,0.029999999329447746,,,1.0,1.0,,,,,99,,2.589637279510498,,,,,,
,,,,,,,,,,,,,,0.03,3.06986425339366e-05,,,,,,,149,,,,,,,,
0,,,,,,,0.2635650634765625,,4.0116119384765625,,187.375,3.087782897637226e-05,0.029999999329447746,,,1.0,1.0,,,,,149,,2.685476779937744,,,,,,
,,,,,,,,,,,,,,0.03,3.9657918552036127e-05,,,,,,,199,,,,,,,,
0,,,,,,,0.31008559465408325,,3.5757105350494385,,163.25,3.983710485044867e-05,0.029999999329447746,,,1.0,1.0,,,,,199,,2.6387763023376465,,,,,,
,,,0.0,,0.296875,,,,,,,,,,,1.0,1.0,,,,,0,,,,0.0,,0.0,,0.0
,,,0.0,,0.2890625,,,,,,,,,,,1.0,1.0,,,,,1,,,,0.0,,0.0,,0.0
,,,0.0,,0.35093510150909424,,,,,,,,,,,1.0,1.0,,,,,2,,,,0.0,,0.0,,0.0
,,,0.0008680555620230734,,0.2890625,,,,,,,,,,,1.0,1.0,,,,,3,,,,0.0,,0.0,,0.0
,,,0.0,,0.3046875,,,,,,,,,,,1.0,1.0,,,,,4,,,,0.0,,0.0,,0.0
,,,0.048076923936605453,,0.47756409645080566,,,,,,,,,,,1.0,1.0,,,,,5,,,,0.0,,0.0,,0.0
,,,0.02604166604578495,,0.546875,,,,,,,,,,,1.0,1.0,,,,,6,,,,0.0,,0.0,,0.0
,,,0.0400390625,,0.59375,,,,,,,,,,,1.0,1.0,,,,,7,,,,0.0,,0.0,,0.0
,,,0.057118356227874756,,0.760291576385498,,,,,,,,,,,1.0,1.0,,,,,8,,,,0.0,,0.0,,0.0
,,,0.0322265625,,0.8984375,,,,,,,,,,,1.0,1.0,,,,,9,,,,0.0,,0.0,,0.0
,,,0.0458984375,,0.953125,,,,,,,,,,,1.0,1.0,,,,,10,,,,0.0,,0.0,,0.0
,,,0.0419921875,,0.9296875,,,,,,,,,,,1.0,1.0,,,,,11,,,,0.0,,0.0,,0.0
,,,0.10866667330265045,,0.8919999599456787,,,,,,,,,,,1.0,1.0,,,,,12,,,,0.0,,0.0,,0.0
