epoch,fit/inv_epoch,fit/inv_step,fit/loss_epoch,fit/loss_step,fit/sigreg_epoch,fit/sigreg_step,hparams/lr_default_0,hparams/lr_inet_probe,lr-AdamW,lr-AdamW-1,queue/embedding_fill_pct,step,train/inet_probe_loss_epoch,train/inet_probe_loss_step
,,,,,,,,,7.374100719424462e-06,0.001,,49,,
0,,0.17365799844264984,,4.7986578941345215,,92.5,7.374100732704392e-06,0.0010000000474974513,,,1.0,49,,7.478759765625
,,,,,,,,,9.748201438848927e-06,0.001,,99,,
0,,0.24308761954307556,,3.8680875301361084,,72.5,9.748201591719408e-06,0.0010000000474974513,,,1.0,99,,7.29931640625
,,,,,,,,,1.2122302158273386e-05,0.001,,149,,
0,,0.27777087688446045,,3.27777099609375,,60.0,1.2122301995987073e-05,0.0010000000474974513,,,1.0,149,,7.142822265625
,,,,,,,,,1.4496402877697847e-05,0.001,,199,,
0,,0.385952889919281,,2.729702949523926,,46.75,1.4892086255713366e-05,0.0010000000474974513,,,1.0,199,,7.370361328125
,,,,,,,,,1.7266187050359712e-05,0.001,,249,,
0,,0.4261191785335541,,2.347994089126587,,38.5,1.7266187569475733e-05,0.0010000000474974513,,,1.0,249,,7.378662109375
,,,,,,,,,1.9640287769784173e-05,0.001,,299,,
0,,0.5040625929832458,,2.1525001525878906,,33.0,1.9640287064248696e-05,0.0010000000474974513,,,1.0,299,,7.1690673828125
,,,,,,,,,2.2014388489208633e-05,0.001,,349,,
0,,0.515562891960144,,1.882750391960144,,27.375,2.2014388378011063e-05,0.0010000000474974513,,,1.0,349,,7.047119140625
,,,,,,,,,2.438848920863309e-05,0.001,,399,,
0,,0.5620566606521606,,1.9136191606521606,,27.0,2.4784172637737356e-05,0.0010000000474974513,,,1.0,399,,7.4716796875
,,,,,,,,,2.7158273381294968e-05,0.001,,449,,
0,,0.5436407327651978,,1.6686407327651978,,22.5,2.7158273951499723e-05,0.0010000000474974513,,,1.0,449,,7.25048828125
,,,,,,,,,2.953237410071942e-05,0.001,,499,,
0,,0.5854317545890808,,1.6088693141937256,,20.5,2.9532373446272686e-05,0.0010000000474974513,,,1.0,499,,7.339599609375
,,,,,,,,,3.190647482014388e-05,0.001,,549,,
0,,0.6078663468360901,,1.5453662872314453,,18.75,3.190647476003505e-05,0.0010000000474974513,,,1.0,549,,7.444580078125
,,,,,,,,,3.428057553956834e-05,0.001,,599,,
0,,0.6057809591293335,,1.5003122091293335,,17.875,3.467625720077194e-05,0.0010000000474974513,,,1.0,599,,7.270751953125
,,,,,,,,,3.705035971223021e-05,0.001,,649,,
0,,0.6129560470581055,,1.4371747970581055,,16.5,3.705035851453431e-05,0.0010000000474974513,,,1.0,649,,7.403564453125
,,,,,,,,,3.942446043165467e-05,0.001,,699,,
0,,0.6477185487747192,,1.4524060487747192,,16.125,3.9424459828296676e-05,0.0010000000474974513,,,1.0,699,,7.205078125
,,,,,,,,,4.179856115107912e-05,0.001,,749,,
0,,0.6374592781066895,,1.3952717781066895,,15.1875,4.179856114205904e-05,0.0010000000474974513,,,1.0,749,,7.408935546875
,,,,,,,,,4.417266187050358e-05,0.001,,799,,
0,,0.6333099603652954,,1.3208099603652954,,13.75,4.456834358279593e-05,0.0010000000474974513,,,1.0,799,,7.312255859375
,,,,,,,,,4.694244604316544e-05,0.001,,849,,
0,,0.6280990839004517,,1.3234115839004517,,13.875,4.69424448965583e-05,0.0010000000474974513,,,1.0,849,,7.189208984375
,,,,,,,,,4.9316546762589895e-05,0.001,,899,,
0,,0.6470257043838501,,1.29546320438385,,12.9375,4.9316546210320666e-05,0.0010000000474974513,,,1.0,899,,7.218017578125
,,,,,,,,,5.169064748201435e-05,0.001,,949,,
0,,0.6163651943206787,,1.2648026943206787,,12.9375,5.169064752408303e-05,0.0010000000474974513,,,1.0,949,,7.26611328125
,,,,,,,,,5.406474820143881e-05,0.001,,999,,
0,,0.6147727370262146,,1.2397727966308594,,12.5,5.446042996481992e-05,0.0010000000474974513,,,1.0,999,,6.9361572265625
,,,,,,,,,5.683453237410066e-05,0.001,,1049,,
0,,0.6155500411987305,,1.1897687911987305,,11.5,5.683453127858229e-05,0.0010000000474974513,,,1.0,1049,,7.309326171875
,,,,,,,,,5.9208633093525114e-05,0.001,,1099,,
0,,0.6397978067398071,,1.2413603067398071,,12.0,5.9208632592344657e-05,0.0010000000474974513,,,1.0,1099,,7.113525390625
,,,,,,,,,6.15827338129496e-05,0.001,,1149,,
0,,0.6218698620796204,,1.2078073024749756,,11.75,6.158273026812822e-05,0.0010000000474974513,,,1.0,1149,,7.048828125
,,,,,,,,,6.395683453237404e-05,0.001,,1199,,
0,,0.6298388242721558,,1.2040575742721558,,11.5,6.435251998482272e-05,0.0010000000474974513,,,1.0,1199,,7.30859375
,,,,,,,,,6.67266187050359e-05,0.001,,1249,,
0,,0.6231405735015869,,1.107515573501587,,9.6875,6.672662129858509e-05,0.0010000000474974513,,,1.0,1249,,7.192626953125
,,,,,,,,,6.910071942446035e-05,0.001,,1299,,
0,,0.6107726097106934,,1.0990538597106934,,9.75,6.910072261234745e-05,0.0010000000474974513,,,1.0,1299,,7.134033203125
,,,,,,,,,7.147482014388484e-05,0.001,,1349,,
0,,0.5793582797050476,,1.0481083393096924,,9.375,7.14748166501522e-05,0.0010000000474974513,,,1.0,1349,,7.1129150390625
,,,,,,,,,7.384892086330931e-05,0.001,,1399,,
0,,0.6779105067253113,,1.131035566329956,,9.0625,7.424460636684671e-05,0.0010000000474974513,,,1.0,1399,,6.994140625
,,,,,,,,,7.661870503597116e-05,0.001,,1449,,
0,,0.6555107831954956,,1.1340264081954956,,9.5625,7.661870768060908e-05,0.0010000000474974513,,,1.0,1449,,7.281982421875
,,,,,,,,,7.899280575539564e-05,0.001,,1499,,
0,,0.6164430975914001,,1.081286907196045,,9.3125,7.899280899437144e-05,0.0010000000474974513,,,1.0,1499,,7.357177734375
,,,,,,,,,8.136690647482009e-05,0.001,,1549,,
0,,0.6091122627258301,,1.04270601272583,,8.6875,8.13669030321762e-05,0.0010000000474974513,,,1.0,1549,,7.2137451171875
,,,,,,,,,8.374100719424456e-05,0.001,,1599,,
0,,0.5938422083854675,,1.0899360179901123,,9.9375,8.41366927488707e-05,0.0010000000474974513,,,1.0,1599,,6.8775634765625
,,,,,,,,,8.651079136690641e-05,0.001,,1649,,
0,,0.6475376486778259,,1.0498814582824707,,8.0625,8.651079406263307e-05,0.0010000000474974513,,,1.0,1649,,7.1243896484375
,,,,,,,,,8.888489208633087e-05,0.001,,1699,,
0,,0.6014561057090759,,1.0233311653137207,,8.4375,8.888489537639543e-05,0.0010000000474974513,,,1.0,1699,,6.872314453125
,,,,,,,,,9.125899280575536e-05,0.001,,1749,,
0,,0.5916287302970886,,1.0037381649017334,,8.25,9.125898941420019e-05,0.0010000000474974513,,,1.0,1749,,7.28662109375
,,,,,,,,,9.363309352517982e-05,0.001,,1799,,
0,,0.5772442817687988,,1.0049786567687988,,8.5625,9.402877913089469e-05,0.0010000000474974513,,,1.0,1799,,7.10546875
,,,,,,,,,9.64028776978417e-05,0.001,,1849,,
0,,0.5684367418289185,,0.9434367418289185,,7.5,9.640288044465706e-05,0.0010000000474974513,,,1.0,1849,,6.98974609375
,,,,,,,,,9.877697841726614e-05,0.001,,1899,,
0,,0.5847498774528503,,0.9675623774528503,,7.65625,9.877698175841942e-05,0.0010000000474974513,,,1.0,1899,,7.107177734375
,,,,,,,,,0.00010115107913669063,0.001,,1949,,
0,,0.6076720952987671,,0.9768127202987671,,7.375,0.00010115107579622418,0.0010000000474974513,,,1.0,1949,,7.116455078125
,,,,,,,,,0.00010352517985611506,0.001,,1999,,
0,,0.5824770331382751,,0.9672426581382751,,7.6875,0.00010392086551291868,0.0010000000474974513,,,1.0,1999,,6.8402099609375
,,,,,,,,,0.00010629496402877697,0.001,,2049,,
0,,0.5745624899864197,,0.9417499899864197,,7.34375,0.00010629496682668105,0.0010000000474974513,,,1.0,2049,,6.7611083984375
,,,,,,,,,0.00010866906474820143,0.001,,2099,,
0,,0.590576171875,,0.953857421875,,7.28125,0.00010866906814044341,0.0010000000474974513,,,1.0,2099,,7.1943359375
,,,,,,,,,0.0001110431654676259,0.001,,2149,,
0,,0.5628061294555664,,0.9143686294555664,,7.03125,0.00011104316217824817,0.0010000000474974513,,,1.0,2149,,6.989990234375
,,,,,,,,,0.00011341726618705036,0.001,,2199,,
0,,0.5893837213516235,,0.9370399713516235,,6.9375,0.00011381295189494267,0.0010000000474974513,,,1.0,2199,,7.186279296875
,,,,,,,,,0.00011618705035971219,0.001,,2249,,
0,,0.5839717388153076,,0.9628779888153076,,7.59375,0.00011618705320870504,0.0010000000474974513,,,1.0,2249,,7.0379638671875
,,,,,,,,,0.00011856115107913665,0.001,,2299,,
