epoch,fit/inv_step,fit/loss_step,fit/sigreg_step,hparams/lr_default_0,hparams/lr_inet_probe,lr-AdamW,lr-AdamW-1,queue/embedding_fill_pct,step,train/inet_probe_loss_step
,,,,,,1.7121439280359813e-05,0.001,,49,
0,0.42016804218292236,2.248292922973633,36.5,1.736881495162379e-05,0.0010000000474974513,,,1.0,49,7.299560546875
,,,,,,2.949025487256372e-05,0.001,,99,
0,0.559252142906189,1.574877142906189,20.375,2.9737631848547608e-05,0.0010000000474974513,,,1.0,99,7.24072265625
,,,,,,4.1859070464767634e-05,0.001,,149,
0,0.6228307485580444,1.3962682485580444,15.4375,4.210644692648202e-05,0.0010000000474974513,,,1.0,149,7.1971435546875
,,,,,,5.422788605697153e-05,0.001,,199,
0,0.630728542804718,1.2713534832000732,12.8125,5.4475262004416436e-05,0.0010000000474974513,,,1.0,199,7.07421875
,,,,,,6.659670164917548e-05,0.001,,249,
0,0.6168610453605652,1.22623610496521,12.1875,6.684407708235085e-05,0.0010000000474974513,,,1.0,249,6.927490234375
,,,,,,7.896551724137947e-05,0.001,,299,
0,0.5500308871269226,1.0969059467315674,10.9375,7.921289216028526e-05,0.0010000000474974513,,,1.0,299,7.3436279296875
,,,,,,9.133433283358333e-05,0.001,,349,
0,0.6044578552246094,1.0829734802246094,9.5625,9.158170723821968e-05,0.0010000000474974513,,,1.0,349,7.3701171875
,,,,,,0.00010370314842578718,0.001,,399,
0,0.5602983236312866,1.0192826986312866,9.1875,0.00010395052231615409,0.0010000000474974513,,,1.0,399,7.13916015625
,,,,,,0.00011607196401799112,0.001,,449,
0,0.5840466022491455,1.0020153522491455,8.375,0.0001163193373940885,0.0010000000474974513,,,1.0,449,7.068603515625
,,,,,,0.00012844077961019512,0.001,,499,
0,0.5998476147651672,1.0021913051605225,8.0625,0.00012868815974798054,0.0010000000474974513,,,1.0,499,6.9671630859375
,,,,,,0.00014080959520239915,0.001,,549,
0,0.5699683427810669,0.9488745927810669,7.59375,0.00014105696754995733,0.0010000000474974513,,,1.0,549,7.0770263671875
,,,,,,0.0001531784107946031,0.001,,599,
0,0.5684934854507446,0.9532591104507446,7.6875,0.00015342578990384936,0.0010000000474974513,,,1.0,599,7.07470703125
,,,,,,0.00016554722638680697,0.001,,649,
0,0.5894946455955505,0.9781665205955505,7.78125,0.00016579459770582616,0.0010000000474974513,,,1.0,649,6.9901123046875
,,,,,,0.00017791604197901095,0.001,,699,
0,0.597766101360321,0.980578601360321,7.65625,0.0001781634200597182,0.0010000000474974513,,,1.0,699,6.869384765625
,,,,,,0.00019028485757121468,0.001,,749,
0,0.5580030679702759,0.9154249429702759,7.15625,0.000190532227861695,0.0010000000474974513,,,1.0,749,7.31103515625
,,,,,,0.00020265367316341839,0.001,,799,
0,0.5836501121520996,0.9410719871520996,7.15625,0.00020290105021558702,0.0010000000474974513,,,1.0,799,6.977783203125
,,,,,,0.00021502248875562223,0.001,,849,
0,0.5582743287086487,0.8942118287086487,6.71875,0.00021526985801756382,0.0010000000474974513,,,1.0,849,6.88134765625
,,,,,,0.00022739130434782612,0.001,,899,
0,0.5839482545852661,0.9257451295852661,6.84375,0.00022763868037145585,0.0010000000474974513,,,1.0,899,6.8779296875
,,,,,,0.00023976011994002994,0.001,,949,
0,0.5521811842918396,0.8842124342918396,6.65625,0.00024000750272534788,0.0010000000474974513,,,1.0,949,7.0142822265625
,,,,,,0.0002521289355322338,0.001,,999,
