epoch,fit/inv_step,fit/loss_step,fit/sigreg_step,hparams/lr_default_0,hparams/lr_inet_probe,lr-AdamW,lr-AdamW-1,queue/embedding_fill_pct,step,train/inet_probe_loss_step
,,,,,,6.187050359712231e-06,0.001,,49,
0,0.18065795302391052,4.868157863616943,94.0,6.187050530570559e-06,0.0010000000474974513,,,1.0,49,7.39697265625
,,,,,,7.374100719424459e-06,0.001,,99,
0,0.23589205741882324,4.079642295837402,77.0,7.374100732704392e-06,0.0010000000474974513,,,1.0,99,7.228515625
,,,,,,8.56115107913669e-06,0.001,,149,
0,0.2940954566001892,3.700345516204834,68.0,8.561150934838224e-06,0.0010000000474974513,,,1.0,149,7.20703125
,,,,,,9.74820143884892e-06,0.001,,199,
0,0.330186128616333,3.048936128616333,54.25,9.946043064701371e-06,0.0010000000474974513,,,1.0,199,7.524658203125
,,,,,,1.1133093525179856e-05,0.001,,249,
0,0.38892099261283875,2.654546022415161,45.25,1.1133093721582554e-05,0.0010000000474974513,,,1.0,249,7.441162109375
,,,,,,1.2320143884892086e-05,0.001,,299,
0,0.4306037425994873,2.4618537425994873,40.75,1.2320143468969036e-05,0.0010000000474974513,,,1.0,299,7.328125
,,,,,,1.3507194244604315e-05,0.001,,349,
0,0.43633195757865906,2.1238319873809814,33.75,1.350719412585022e-05,0.0010000000474974513,,,1.0,349,7.0357666015625
,,,,,,1.4694244604316543e-05,0.001,,399,
0,0.49501174688339233,2.002824306488037,30.125,1.4892086255713366e-05,0.0010000000474974513,,,1.0,399,7.417236328125
,,,,,,1.6079136690647482e-05,0.001,,449,
0,0.5199501514434814,1.8480751514434814,26.5,1.607913691259455e-05,0.0010000000474974513,,,1.0,449,7.3494873046875
,,,,,,1.7266187050359712e-05,0.001,,499,
0,0.492755264043808,1.7271302938461304,24.625,1.7266187569475733e-05,0.0010000000474974513,,,1.0,499,7.1796875
,,,,,,1.8453237410071942e-05,0.001,,549,
0,0.5421795845031738,1.6515545845031738,22.25,1.8453238226356916e-05,0.0010000000474974513,,,1.0,549,7.512939453125
,,,,,,1.9640287769784166e-05,0.001,,599,
0,0.5684265494346619,1.6465516090393066,21.5,1.983812944672536e-05,0.0010000000474974513,,,1.0,599,7.1983642578125
,,,,,,2.1025179856115108e-05,0.001,,649,
0,0.6011926531791687,1.5386927127838135,18.75,2.1025180103606544e-05,0.0010000000474974513,,,1.0,649,7.462646484375
,,,,,,2.2212230215827335e-05,0.001,,699,
0,0.6202648878097534,1.5265148878097534,18.125,2.2212230760487728e-05,0.0010000000474974513,,,1.0,699,7.215087890625
,,,,,,2.3399280575539575e-05,0.001,,749,
0,0.579161524772644,1.465880274772644,17.75,2.339928141736891e-05,0.0010000000474974513,,,1.0,749,7.1845703125
,,,,,,2.4586330935251802e-05,0.001,,799,
0,0.5839132070541382,1.4511007070541382,17.375,2.4784172637737356e-05,0.0010000000474974513,,,1.0,799,7.37646484375
,,,,,,2.5971223021582734e-05,0.001,,849,
0,0.592724084854126,1.424755334854126,16.625,2.597122329461854e-05,0.0010000000474974513,,,1.0,849,7.29296875
,,,,,,2.7158273381294968e-05,0.001,,899,
0,0.6085242629051208,1.3819618225097656,15.5,2.7158273951499723e-05,0.0010000000474974513,,,1.0,899,7.203125
,,,,,,2.834532374100719e-05,0.001,,949,
0,0.6202836036682129,1.323408603668213,14.0625,2.8345324608380906e-05,0.0010000000474974513,,,1.0,949,7.202880859375
,,,,,,2.953237410071942e-05,0.001,,999,
0,0.6174474358558655,1.3518223762512207,14.6875,2.973021582874935e-05,0.0010000000474974513,,,1.0,999,7.12646484375
