epoch,fit/inv_step,fit/loss_step,fit/sigreg_step,hparams/lr_default_0,hparams/lr_inet_probe,lr-AdamW,lr-AdamW-1,queue/embedding_fill_pct,step,train/inet_probe_loss_step
,,,,,,6.187050359712231e-06,0.001,,49,
0,0.18129758536815643,4.900047779083252,94.5,6.187050530570559e-06,0.0010000000474974513,,,1.0,49,7.38427734375
,,,,,,7.374100719424459e-06,0.001,,99,
0,0.23761610686779022,4.143866062164307,78.0,7.374100732704392e-06,0.0010000000474974513,,,1.0,99,7.236083984375
,,,,,,8.56115107913669e-06,0.001,,149,
0,0.2906085252761841,3.6343584060668945,67.0,8.561150934838224e-06,0.0010000000474974513,,,1.0,149,7.15380859375
,,,,,,9.74820143884892e-06,0.001,,199,
0,0.32830920815467834,3.0939342975616455,55.25,9.946043064701371e-06,0.0010000000474974513,,,1.0,199,7.546142578125
,,,,,,1.1133093525179856e-05,0.001,,249,
0,0.3922464847564697,2.6578714847564697,45.25,1.1133093721582554e-05,0.0010000000474974513,,,1.0,249,7.4766845703125
,,,,,,1.2320143884892086e-05,0.001,,299,
0,0.4370200037956238,2.3979575634002686,39.25,1.2320143468969036e-05,0.0010000000474974513,,,1.0,299,7.324462890625
,,,,,,1.3507194244604315e-05,0.001,,349,
0,0.4432675242424011,2.130767583847046,33.75,1.350719412585022e-05,0.0010000000474974513,,,1.0,349,7.0498046875
,,,,,,1.4694244604316543e-05,0.001,,399,
0,0.49846965074539185,1.990657091140747,29.875,1.4892086255713366e-05,0.0010000000474974513,,,1.0,399,7.44970703125
,,,,,,1.6079136690647482e-05,0.001,,449,
0,0.5114664435386658,1.8083415031433105,26.0,1.607913691259455e-05,0.0010000000474974513,,,1.0,449,7.3739013671875
,,,,,,1.7266187050359712e-05,0.001,,499,
0,0.4972122609615326,1.669087290763855,23.5,1.7266187569475733e-05,0.0010000000474974513,,,1.0,499,7.220703125
,,,,,,1.8453237410071942e-05,0.001,,549,
0,0.5462837219238281,1.6634712219238281,22.375,1.8453238226356916e-05,0.0010000000474974513,,,1.0,549,7.54150390625
,,,,,,1.9640287769784166e-05,0.001,,599,
0,0.566162109375,1.628662109375,21.25,1.983812944672536e-05,0.0010000000474974513,,,1.0,599,7.210693359375
,,,,,,2.1025179856115108e-05,0.001,,649,
0,0.5970876216888428,1.5463063716888428,19.0,2.1025180103606544e-05,0.0010000000474974513,,,1.0,649,7.4493408203125
,,,,,,2.2212230215827335e-05,0.001,,699,
0,0.6219272017478943,1.539896011352539,18.375,2.2212230760487728e-05,0.0010000000474974513,,,1.0,699,7.2274169921875
,,,,,,2.3399280575539575e-05,0.001,,749,
0,0.5798287987709045,1.4743599891662598,17.875,2.339928141736891e-05,0.0010000000474974513,,,1.0,749,7.138427734375
,,,,,,2.4586330935251802e-05,0.001,,799,
0,0.5856004953384399,1.42153799533844,16.75,2.4784172637737356e-05,0.0010000000474974513,,,1.0,799,7.3603515625
,,,,,,2.5971223021582734e-05,0.001,,849,
0,0.5883297920227051,1.381298542022705,15.875,2.597122329461854e-05,0.0010000000474974513,,,1.0,849,7.3153076171875
,,,,,,2.7158273381294968e-05,0.001,,899,
0,0.6207631826400757,1.3824819326400757,15.25,2.7158273951499723e-05,0.0010000000474974513,,,1.0,899,7.16748046875
,,,,,,2.834532374100719e-05,0.001,,949,
0,0.6119632124900818,1.3268070220947266,14.3125,2.8345324608380906e-05,0.0010000000474974513,,,1.0,949,7.201171875
,,,,,,2.953237410071942e-05,0.001,,999,
0,0.6200933456420898,1.3193120956420898,14.0,2.973021582874935e-05,0.0010000000474974513,,,1.0,999,7.0928955078125
,,,,,,3.091726618705035e-05,0.001,,1049,
0,0.6361826658248901,1.3705576658248901,14.6875,3.091726466664113e-05,0.0010000000474974513,,,1.0,1049,7.2484130859375
,,,,,,3.2104316546762574e-05,0.001,,1099,
0,0.6269182562828064,1.2948870658874512,13.375,3.2104315323522314e-05,0.0010000000474974513,,,1.0,1099,7.0738525390625
,,,,,,3.3291366906474804e-05,0.001,,1149,
0,0.6572052240371704,1.2900177240371704,12.6875,3.32913659804035e-05,0.0010000000474974513,,,1.0,1149,7.283203125
,,,,,,3.4478417266187034e-05,0.001,,1199,
0,0.6428545713424683,1.3069170713424683,13.25,3.467625720077194e-05,0.0010000000474974513,,,1.0,1199,7.1529541015625
,,,,,,3.5863309352517966e-05,0.001,,1249,
0,0.6457968354225159,1.231734275817871,11.6875,3.5863307857653126e-05,0.0010000000474974513,,,1.0,1249,6.937255859375
,,,,,,3.70503597122302e-05,0.001,,1299,
0,0.6396902799606323,1.2881277799606323,12.9375,3.705035851453431e-05,0.0010000000474974513,,,1.0,1299,7.27490234375
,,,,,,3.823741007194242e-05,0.001,,1349,
0,0.6387953162193298,1.2403578758239746,12.0,3.823740917141549e-05,0.0010000000474974513,,,1.0,1349,7.2374267578125
,,,,,,3.942446043165464e-05,0.001,,1399,
0,0.6638360023498535,1.2380547523498535,11.5,3.962230039178394e-05,0.0010000000474974513,,,1.0,1399,7.074951171875
,,,,,,4.080935251798558e-05,0.001,,1449,
0,0.623610258102417,1.225172758102417,12.0,4.080935104866512e-05,0.0010000000474974513,,,1.0,1449,7.39306640625
,,,,,,4.19964028776978e-05,0.001,,1499,
