run,name,max_epoch,lp_best,lp_best_ep,lp_last,knn_best,rankme_last
baseline_100,baseline_100,99,0.863815188407898,80,0.8498210906982422,0.8452964425086975,220.82623291015625
exp1-sam,sam,99,0.8703033924102783,90,0.8593339920043945,0.8442113995552063,220.1543884277344
exp10-deepsup,deepsup,99,0.8628157377243042,90,0.8521738052368164,0.8355838656425476,240.53895568847656
exp2-qknorm,qknorm,99,0.8733227252960205,84,0.856971800327301,0.8500930070877075,220.54904174804688
exp3-muon,muon,99,0.8142321109771729,75,0.7907167077064514,0.8049952983856201,220.57974243164065
exp4-schedulefree,schedulefree,99,0.86434006690979,96,0.8276207447052002,0.846866250038147,217.27371215820312
exp5-pcgrad,pcgrad,99,0.8693621158599854,77,0.8457456231117249,0.853273868560791,219.5915985107422
exp6-convstem,convstem,99,0.9038946628570556,89,0.8980749845504761,0.8967638611793518,216.2237243652344
exp7-swa,swa,99,0.8684488534927368,94,0.8541927337646484,0.8470683097839355,220.2322998046875
exp8-llrd,llrd,99,0.8362631797790527,98,0.7616752982139587,0.7945668697357178,214.0670166015625
exp9-sdschedule,sdschedule,99,0.8679503202438354,90,0.8497166633605957,0.8442603349685669,224.72157287597656
