epoch,eval/knn_probe_top1,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_epoch,fit/inv_step,fit/loss_epoch,fit/loss_step,fit/sigreg_epoch,fit/sigreg_step,lr-AdamW,lr-SAM,queue/embedding_fill_pct,queue/label_fill_pct,rankme,rankme/condition_number,rankme/entropy,rankme/top_singular_value,step,train/linear_probe_loss_epoch,train/linear_probe_loss_step,train/sam_active_epoch,train/sam_active_step,validate/inv_epoch,validate/inv_step,validate/loss_epoch,validate/loss_step,validate/sigreg_epoch,validate/sigreg_step
,,,,,,,,,,,,0.03,1.2780090497737552e-05,,,,,,,49,,,,,,,,,,
0,,,,,,,0.3949849605560303,,2.8793599605560303,,124.0,,,1.0,1.0,,,,,49,,2.30413818359375,,0.0,,,,,,
,,,,,,,,,,,,0.03,2.1739366515837093e-05,,,,,,,99,,,,,,,,,,
0,,,,,,,0.5974490642547607,,1.8005740642547607,,60.25,,,1.0,1.0,,,,,99,,2.271597385406494,,0.0,,,,,,
,,,,,,,,,,,,0.03,3.06986425339366e-05,,,,,,,149,,,,,,,,,,
0,,,,,,,0.635262668132782,,1.6352627277374268,,50.0,,,1.0,1.0,,,,,149,,2.5596303939819336,,0.0,,,,,,
,,,,,,,,,,,,0.03,3.9657918552036127e-05,,,,,,,199,,,,,,,,,,
0,,,,,,,0.6617848873138428,,1.4586598873138428,,39.75,,,1.0,1.0,,,,,199,,2.6320886611938477,,0.0,,,,,,
,,,0.007031249813735485,,0.3671875,,,,,,,,,1.0,1.0,,,,,0,,,,,,0.0,,0.0,,0.0
,,,0.007031249813735485,,0.4140625,,,,,,,,,1.0,1.0,,,,,1,,,,,,0.0,,0.0,,0.0
,,,0.017308397218585014,,0.6486982107162476,,,,,,,,,1.0,1.0,,,,,2,,,,,,0.0,,0.0,,0.0
,,,0.01128472201526165,,0.765625,,,,,,,,,1.0,1.0,,,,,3,,,,,,0.0,,0.0,,0.0
,,,0.00937500037252903,,0.7109375,,,,,,,,,1.0,1.0,,,,,4,,,,,,0.0,,0.0,,0.0
,,,0.06410256028175354,,0.8237179517745972,,,,,,,,,1.0,1.0,,,,,5,,,,,,0.0,,0.0,,0.0
,,,0.04374999925494194,,0.8984375,,,,,,,,,1.0,1.0,,,,,6,,,,,,0.0,,0.0,,0.0
,,,0.046875,,0.8984375,,,,,,,,,1.0,1.0,,,,,7,,,,,,0.0,,0.0,,0.0
,,,0.06346483528614044,,0.9120926260948181,,,,,,,,,1.0,1.0,,,,,8,,,,,,0.0,,0.0,,0.0
,,,0.0234375,,0.8359375,,,,,,,,,1.0,1.0,,,,,9,,,,,,0.0,,0.0,,0.0
,,,0.03437500074505806,,0.828125,,,,,,,,,1.0,1.0,,,,,10,,,,,,0.0,,0.0,,0.0
,,,0.02812499925494194,,0.78125,,,,,,,,,1.0,1.0,,,,,11,,,,,,0.0,,0.0,,0.0
,,,0.09125925600528717,,0.8560000061988831,,,,,,,,,1.0,1.0,,,,,12,,,,,,0.0,,0.0,,0.0
,,,0.0419921875,,0.5390625,,,,,,,,,1.0,1.0,,,,,13,,,,,,0.0,,0.0,,0.0
,,,0.0381944440305233,,0.6015625,,,,,,,,,1.0,1.0,,,,,14,,,,,,0.0,,0.0,,0.0
,,,0.05975724011659622,,0.6055089235305786,,,,,,,,,1.0,1.0,,,,,15,,,,,,0.0,,0.0,,0.0
,,,0.00390625,,0.7578125,,,,,,,,,1.0,1.0,,,,,16,,,,,,0.0,,0.0,,0.0
,,,0.0031250000465661287,,0.7421875,,,,,,,,,1.0,1.0,,,,,17,,,,,,0.0,,0.0,,0.0
,,,0.02467532455921173,,0.5735930800437927,,,,,,,,,1.0,1.0,,,,,18,,,,,,0.0,,0.0,,0.0
,,,0.01406249962747097,,0.46875,,,,,,,,,1.0,1.0,,,,,19,,,,,,0.0,,0.0,,0.0
,,,0.015625,,0.46875,,,,,,,,,1.0,1.0,,,,,20,,,,,,0.0,,0.0,,0.0
,,,0.04146949201822281,,0.6610211730003357,,,,,,,,,1.0,1.0,,,,,21,,,,,,0.0,,0.0,,0.0
,,,0.02083333395421505,,0.7109375,,,,,,,,,1.0,1.0,,,,,22,,,,,,0.0,,0.0,,0.0
,,,0.01171875,,0.6875,,,,,,,,,1.0,1.0,,,,,23,,,,,,0.0,,0.0,,0.0
,,,0.055665023624897,,0.8182265758514404,,,,,,,,,1.0,1.0,,,,,24,,,,,,0.0,,0.0,,0.0
,,,0.0520833320915699,,0.9140625,,,,,,,,,1.0,1.0,,,,,25,,,,,,0.0,,0.0,,0.0
,,,0.0572916679084301,,0.875,,,,,,,,,1.0,1.0,,,,,26,,,,,,0.0,,0.0,,0.0
,,,0.07730817794799805,,0.845660388469696,,,,,,,,,1.0,1.0,,,,,27,,,,,,0.0,,0.0,,0.0
,,,0.02656250074505806,,0.7734375,,,,,,,,,1.0,1.0,,,,,28,,,,,,0.0,,0.0,,0.0
,,,0.02500000037252903,,0.7109375,,,,,,,,,1.0,1.0,,,,,29,,,,,,0.0,,0.0,,0.0
,,,0.027031464502215385,,0.5805745720863342,,,,,,,,,1.0,1.0,,,,,30,,,,,,0.0,,0.0,,0.0
,,,0.010937499813735485,,0.3828125,,,,,,,,,1.0,1.0,,,,,31,,,,,,0.0,,0.0,,0.0
,,,0.0054687499068677425,,0.421875,,,,,,,,,1.0,1.0,,,,,32,,,,,,0.0,,0.0,,0.0
,,,0.022068966180086136,,0.6256157755851746,,,,,,,,,1.0,1.0,,,,,33,,,,,,0.0,,0.0,,0.0
,,,0.01128472201526165,,0.7265625,,,,,,,,,1.0,1.0,,,,,34,,,,,,0.0,,0.0,,0.0
,,,0.007031249813735485,,0.7109375,,,,,,,,,1.0,1.0,,,,,35,,,,,,0.0,,0.0,,0.0
,,,0.046709075570106506,,0.7852948307991028,,,,,,,,,1.0,1.0,,,,,36,,,,,,0.0,,0.0,,0.0
,,,0.05000000074505806,,0.90625,,,,,,,,,1.0,1.0,,,,,37,,,,,,0.0,,0.0,,0.0
,,,0.04453124850988388,,0.9296875,,,,,,,,,1.0,1.0,,,,,38,,,,,,0.0,,0.0,,0.0
,,,0.06449328362941742,,0.8680098056793213,,,,,,,,,1.0,1.0,,,,,39,,,,,,0.0,,0.0,,0.0
,,,0.02968749962747097,,0.859375,,,,,,,,,1.0,1.0,,,,,40,,,,,,0.0,,0.0,,0.0
,,,0.02968749962747097,,0.8046875,,,,,,,,,1.0,1.0,,,,,41,,,,,,0.0,,0.0,,0.0
,,,0.08204545080661774,,0.7727272510528564,,,,,,,,,1.0,1.0,,,,,42,,,,,,0.0,,0.0,,0.0
,,,0.046875,,0.6015625,,,,,,,,,1.0,1.0,,,,,43,,,,,,0.0,,0.0,,0.0
,,,0.037109375,,0.546875,,,,,,,,,1.0,1.0,,,,,44,,,,,,0.0,,0.0,,0.0
