import time: self [us] | cumulative | imported package
import time:       717 |       1265 |           lzma
import time:      1139 |       4103 |         shutil
import time:      1802 |       1802 |         loguru._string_parsers
import time:      1989 |       1989 |         loguru._ctime_functions
import time:      6634 |      17629 |       loguru._file_sink
import time:      1524 |       1524 |       loguru._get_frame
import time:       410 |        410 |               _json
import time:       562 |        972 |             json.scanner
import time:       558 |       1529 |           json.decoder
import time:       468 |        468 |           json.encoder
import time:       750 |       2746 |         json
import time:      4554 |       4554 |         loguru._locks_machinery
import time:      1770 |       9069 |       loguru._handler
import time:      1726 |       1726 |       loguru._recattrs
import time:      5038 |       5038 |       loguru._simple_sinks
import time:      3657 |     132119 |     loguru._logger
import time:       849 |        849 |     _sysconfigdata__x86_64-linux-gnu
import time:     10997 |     147515 |   loguru
import time:       456 |        456 |             org
import time:        78 |        533 |           org.python
import time:        62 |        595 |         org.python.core
import time:       460 |       1055 |       copy
import time:      1220 |       1220 |       dataclasses
import time:      2522 |       2522 |         antlr4.Token
import time:      2585 |       2585 |         antlr4.InputStream
import time:      2067 |       2067 |         antlr4.FileStream
import time:      1713 |       1713 |         antlr4.StdinStream
import time:      2794 |       2794 |             antlr4.error
import time:      2405 |       2405 |                   antlr4.tree
import time:      3106 |       5510 |                 antlr4.tree.Tree
import time:      1916 |       1916 |                   antlr4.Utils
import time:      2294 |       4210 |                 antlr4.tree.Trees
import time:      1760 |      11480 |               antlr4.RuleContext
import time:      1847 |      13326 |             antlr4.ParserRuleContext
import time:      2140 |       2140 |               antlr4.error.ErrorListener
import time:      2545 |       4685 |             antlr4.Recognizer
import time:      3072 |      23876 |           antlr4.error.Errors
import time:      2018 |      25893 |         antlr4.BufferedTokenStream
import time:      1883 |       1883 |             antlr4.CommonTokenFactory
import time:      2520 |       2520 |               antlr4.atn
import time:      1700 |       1700 |                   antlr4.IntervalSet
import time:      2017 |       2017 |                   antlr4.atn.ATNType
import time:      2393 |       2393 |                       antlr4.atn.SemanticContext
import time:      2517 |       4909 |                     antlr4.atn.Transition
import time:      2487 |       7396 |                   antlr4.atn.ATNState
import time:      2775 |      13886 |                 antlr4.atn.ATN
import time:      2316 |      16202 |               antlr4.PredictionContext
import time:      6015 |       6015 |                   antlr4.atn.LexerAction
import time:      9410 |      15424 |                 antlr4.atn.LexerActionExecutor
import time:      1913 |      17337 |               antlr4.atn.ATNConfig
import time:      2641 |       2641 |                 antlr4.atn.ATNConfigSet
import time:      2698 |       2698 |                   antlr4.dfa
import time:      3397 |       6095 |                 antlr4.dfa.DFAState
import time:      3585 |      12320 |               antlr4.atn.ATNSimulator
import time:      4059 |      52437 |             antlr4.atn.LexerATNSimulator
import time:      2016 |      56335 |           antlr4.Lexer
import time:      2346 |      58681 |         antlr4.CommonTokenStream
import time:      2400 |       2400 |           antlr4.error.ErrorStrategy
import time:      2660 |       2660 |               platform
import time:       634 |        634 |               _uuid
import time:      1015 |       4308 |             uuid
import time:      3079 |       3079 |             antlr4.atn.ATNDeserializationOptions
import time:      2843 |      10229 |           antlr4.atn.ATNDeserializer
import time:      2017 |       2017 |             antlr4.ListTokenSource
import time:      1787 |       1787 |             antlr4.tree.Chunk
