import time: self [us] | cumulative | imported package
import time:      1537 |       1537 |                     torch.nn.modules._functions
import time:      2126 |       3663 |                   torch.nn.modules.batchnorm
import time:      1342 |       1342 |                   torch.nn.modules.channelshuffle
import time:      2106 |       2106 |                     torch.nn.common_types
import time:      2341 |       4447 |                   torch.nn.modules.conv
import time:      3646 |       3646 |                   torch.nn.modules.distance
import time:      3031 |       3031 |                   torch.nn.modules.dropout
import time:      2054 |       2054 |                   torch.nn.modules.flatten
import time:      1894 |       1894 |                   torch.nn.modules.fold
import time:      2380 |       2380 |                   torch.nn.modules.instancenorm
import time:      2892 |       2892 |                   torch.nn.modules.loss
import time:      2526 |       2526 |                   torch.nn.modules.normalization
import time:      3404 |       3404 |                   torch.nn.modules.padding
import time:      1528 |       1528 |                   torch.nn.modules.pixelshuffle
import time:      2611 |       2611 |                   torch.nn.modules.pooling
import time:      1710 |       1710 |                             torch.__future__
import time:      2245 |       3954 |                           torch.nn.utils.parametrize
import time:      5299 |       9252 |                         torch.nn.utils.parametrizations
import time:      2832 |       2832 |                         torch.nn.utils.rnn
import time:      2484 |       2484 |                           torch.nn.utils._named_member_accessor
import time:      2005 |       4488 |                         torch.nn.utils.stateless
import time:      2381 |       2381 |                           torch.utils._foreach_utils
import time:      1984 |       4365 |                         torch.nn.utils.clip_grad
import time:      1843 |       1843 |                         torch.nn.utils.convert_parameters
import time:      2045 |       2045 |                         torch.nn.utils.fusion
import time:      1846 |       1846 |                         torch.nn.utils.init
import time:      2244 |       2244 |                         torch.nn.utils.memory_format
import time:      2058 |       2058 |                         torch.nn.utils.spectral_norm
import time:      1897 |       1897 |                         torch.nn.utils.weight_norm
import time:      3621 |      36486 |                       torch.nn.utils
import time:       113 |      36598 |                     torch.nn.utils.rnn
import time:     11482 |      48079 |                   torch.nn.modules.rnn
import time:      2345 |       2345 |                   torch.nn.modules.sparse
import time:      2251 |       2251 |                   torch.nn.modules.transformer
import time:      5265 |       5265 |                   torch.nn.modules.upsampling
import time:      6470 |     683634 |                 torch.nn.modules
import time:      3050 |       3050 |                       torch.backends.cpu
import time:      3131 |       3131 |                       torch.backends.cuda
import time:      2329 |       2329 |                       torch.backends.cudnn
import time:      2858 |       2858 |                       torch.backends.cusparselt
import time:      2645 |       2645 |                       torch.backends.mha
import time:      3683 |       3683 |                       torch.backends.mkl
import time:      2940 |       2940 |                       torch.backends.mkldnn
import time:      2846 |       2846 |                               torch._library.utils
import time:      3950 |       6796 |                             torch._library.autograd
import time:      2163 |       2163 |                             torch._library.fake_impl
import time:      1836 |       1836 |                             torch._library.simple_registry
import time:      2652 |       2652 |                             torch._library.fake_class_registry
import time:      2339 |       2339 |                               torch._library.custom_ops
import time:      2593 |       2593 |                               torch._library.infer_schema
import time:      2007 |       6938 |                             torch._library.triton
import time:      2808 |      23190 |                           torch._library
import time:      2227 |      25416 |                         torch.library
import time:      2491 |      27906 |                       torch.backends.mps
import time:      2954 |       2954 |                       torch.backends.nnpack
import time:      2524 |       2524 |                       torch.backends.openmp
import time:      2573 |       2573 |                       torch.backends.quantized
import time:      3469 |      60058 |                     torch.backends
import time:        98 |      60155 |                   torch.backends.cuda
import time:      3067 |      63222 |                 torch.nn.attention
import time:      2075 |       2075 |                     torch.nn.parallel.parallel_apply
import time:      1529 |       1529 |                         torch.cuda.nccl
import time:      1736 |       3264 |                       torch.nn.parallel.comm
import time:      1984 |       5247 |                     torch.nn.parallel.replicate
import time:      2062 |       2062 |                       torch.nn.parallel._functions
import time:      1774 |       3835 |                     torch.nn.parallel.scatter_gather
import time:      2951 |      14106 |                   torch.nn.parallel.data_parallel
import time:      3961 |       3961 |                         torch.distributed.algorithms.join
import time:      2415 |       6376 |                       torch.distributed.algorithms
import time:        68 |       6443 |                     torch.distributed.algorithms.join
import time:      2413 |       2413 |                     torch.distributed.utils
import time:      4434 |      13288 |                   torch.nn.parallel.distributed
import time:      2817 |      30210 |                 torch.nn.parallel
import time:      2340 |     781926 |               torch.nn
import time:        72 |     781997 |             torch.nn.functional
import time:      4746 |       4746 |               torch._linalg_utils
import time:      1680 |       6426 |             torch._lowrank
import time:     12136 |     800558 |           torch.functional
import time:      1881 |       1881 |           torch.__config__
import time:      2434 |       2434 |             torch.accelerator._utils
import time:      2450 |       4883 |           torch.accelerator
import time:      3534 |       3534 |               torch.cpu.amp.autocast_mode
import time:      2186 |       2186 |               torch.cpu.amp.grad_scaler
import time:      3833 |       9553 |             torch.cpu.amp
import time:      3159 |      12711 |           torch.cpu
import time:      2753 |       2753 |               torch.distributions.constraints
import time:      2315 |       2315 |               torch.distributions.utils
import time:      4890 |       9958 |             torch.distributions.transforms
import time:      2093 |       2093 |                 torch.distributions.distribution
import time:      2520 |       4612 |               torch.distributions.exp_family
import time:      1970 |       6581 |             torch.distributions.bernoulli
import time:      2117 |       2117 |               torch.distributions.dirichlet
import time:      2349 |       4466 |             torch.distributions.beta
import time:      2128 |       2128 |             torch.distributions.binomial
import time:      1906 |       1906 |             torch.distributions.categorical
import time:      3121 |       3121 |             torch.distributions.cauchy
import time:      2204 |       2204 |               torch.distributions.gamma
import time:      1999 |       4203 |             torch.distributions.chi2
import time:      2019 |       2019 |             torch.distributions.constraint_registry
import time:      1987 |       1987 |             torch.distributions.continuous_bernoulli
import time:      2065 |       2065 |             torch.distributions.exponential
import time:      2041 |       2041 |             torch.distributions.fishersnedecor
import time:      2424 |       2424 |             torch.distributions.geometric
import time:      1873 |       1873 |                 torch.distributions.independent
import time:      2235 |       4107 |               torch.distributions.transformed_distribution
import time:      2023 |       2023 |               torch.distributions.uniform
import time:      2177 |       8306 |             torch.distributions.gumbel
import time:      1990 |       1990 |             torch.distributions.half_cauchy
import time:      2566 |       2566 |               torch.distributions.normal
import time:      2324 |       4890 |             torch.distributions.half_normal
import time:      2151 |       2151 |             torch.distributions.inverse_gamma
import time:      1994 |       1994 |               torch.distributions.laplace
import time:      2117 |       2117 |                 torch.distributions.multivariate_normal
import time:      2230 |       4347 |               torch.distributions.lowrank_multivariate_normal
import time:      2014 |       2014 |               torch.distributions.one_hot_categorical
import time:      6485 |       6485 |               torch.distributions.pareto
import time:      2047 |       2047 |               torch.distributions.poisson
import time:      6739 |      23624 |             torch.distributions.kl
import time:      2331 |       2331 |             torch.distributions.kumaraswamy
import time:      3413 |       3413 |             torch.distributions.lkj_cholesky
import time:      2784 |       2784 |             torch.distributions.log_normal
import time:      1625 |       1625 |             torch.distributions.logistic_normal
import time:      1954 |       1954 |             torch.distributions.mixture_same_family
import time:      2625 |       2625 |             torch.distributions.multinomial
import time:      2234 |       2234 |             torch.distributions.negative_binomial
import time:      1595 |       1595 |             torch.distributions.relaxed_bernoulli
import time:      1509 |       1509 |             torch.distributions.relaxed_categorical
import time:      1999 |       1999 |             torch.distributions.studentT
import time:      2515 |       2515 |                   torch.jit._builtins
import time:      4456 |       6971 |                 torch.jit._async
import time:      1526 |       1526 |                 torch.jit._await
import time:      1768 |       1768 |                 torch.jit._decomposition_utils
import time:      2049 |       2049 |                     torch._classes
import time:      1613 |       1613 |                     torch.jit._fuser
import time:       227 |        227 |                       monkeytype
import time:      2018 |       2244 |                     torch.jit._monkeytype_config
import time:      1674 |       1674 |                       torch.jit._check
import time:      1595 |       1595 |                       torch.jit._state
import time:      2574 |       2574 |                         torch.jit.annotations
import time:      1749 |       1749 |                         torch.jit._dataclass_impls
import time:       215 |        215 |                         astunparse
import time:      2384 |       6921 |                       torch.jit.frontend
import time:      2296 |      12485 |                     torch.jit._recursive
import time:      1724 |       1724 |                     torch.jit._serialization
import time:      4077 |      24189 |                   torch.jit._script
import time:      1916 |      26104 |                 torch.jit._freeze
import time:      1421 |       1421 |                 torch.jit._ir_utils
import time:      2912 |       2912 |                 torch.jit._trace
import time:      3679 |      44379 |               torch.jit
import time:      1674 |      46053 |             torch.distributions.von_mises
import time:      1435 |       1435 |             torch.distributions.weibull
import time:      2056 |       2056 |             torch.distributions.wishart
import time:      6368 |     161828 |           torch.distributions
import time:      2616 |       2616 |           torch.fft
import time:       237 |        237 |               urllib.response
import time:       338 |        574 |             urllib.error
import time:       927 |        927 |                 http
import time:       565 |        565 |                   email.feedparser
import time:       375 |        939 |                 email.parser
import time:      1130 |       2995 |               http.client
import time:      1567 |       4561 |             urllib.request
import time:      2107 |       2107 |               tqdm._monitor
import time:      1538 |       1538 |               tqdm._tqdm_pandas
import time:      1553 |       1553 |                   tqdm.utils
import time:      2089 |       3641 |                 tqdm.std
import time:      6810 |       6810 |                 tqdm.version
import time:      1776 |      12227 |               tqdm.cli
import time:      1801 |       1801 |               tqdm.gui
import time:      2835 |      20506 |             tqdm
import time:      5442 |      31082 |           torch.hub
import time:      2765 |       2765 |           torch.linalg
import time:      2096 |       2096 |             torch.mps.profiler
import time:      2095 |       2095 |             torch.mps.event
import time:      3427 |       7618 |           torch.mps
import time:      2527 |       2527 |             torch.mtia._utils
import time:      1545 |       1545 |             torch.mtia.memory
import time:      3355 |       7426 |           torch.mtia
import time:       353 |        353 |               multiprocessing.util
import time:       263 |        263 |               multiprocessing.resource_sharer
import time:      2265 |       2880 |             torch.multiprocessing.reductions
import time:       303 |        303 |                 _multiprocessing
import time:       162 |        162 |                 _winapi
import time:      1499 |       1962 |               multiprocessing.connection
import time:       269 |        269 |               concurrent.futures.thread
import time:      1869 |       4099 |             torch.multiprocessing.spawn
import time:      3126 |      10104 |           torch.multiprocessing
import time:      2539 |       2539 |               torch.nested._internal
import time:      1286 |       1286 |                         torch.fx._compatibility
import time:      2429 |       2429 |                                 torch.return_types
import time:      5693 |       8122 |                               torch.fx._pytree
import time:      3077 |       3077 |                                 torch.fx.operator_schemas
import time:      1749 |       1749 |                                 torch.fx.immutable_collections
import time:     12416 |      17240 |                               torch.fx.node
import time:      5423 |      30783 |                             torch.fx.graph
import time:      2261 |      33044 |                           torch.fx.graph_module
import time:      1694 |      34737 |                         torch.fx._lazy_graph_module
import time:      2227 |       2227 |                           torch.fx.traceback
import time:      1738 |       1738 |                           torch.utils._traceback
import time:      2306 |       6271 |                         torch.fx.proxy
import time:      4025 |      46318 |                       torch.fx._symbolic_trace
import time:      1801 |       1801 |                         torch.fx.config
import time:      3351 |       5152 |                       torch.fx.interpreter
import time:      6644 |       6644 |                       torch.fx.subgraph_rewriter
import time:      3686 |      61798 |                     torch.fx
import time:      8928 |      70726 |                   torch.fx.experimental
import time:      2898 |      73624 |                 torch.fx.experimental._constant_symnode
import time:      2028 |      75652 |               torch.nested._internal.nested_int
import time:      2262 |       2262 |               torch.utils.weak
import time:      5084 |      85536 |             torch.nested._internal.nested_tensor
import time:      3234 |      88769 |           torch.nested
import time:      2884 |       2884 |               torch.optim.optimizer
import time:      3306 |       6189 |             torch.optim.lr_scheduler
import time:      2847 |       2847 |             torch.optim.swa_utils
import time:      2604 |       2604 |             torch.optim._adafactor
import time:      2307 |       2307 |             torch.optim.adadelta
import time:      6366 |       6366 |             torch.optim.adagrad
import time:      8085 |       8085 |             torch.optim.adam
import time:      4816 |       4816 |             torch.optim.adamax
import time:      2185 |       2185 |             torch.optim.adamw
import time:      1725 |       1725 |             torch.optim.asgd
import time:      1564 |       1564 |             torch.optim.lbfgs
import time:      2047 |       2047 |             torch.optim.nadam
import time:      1676 |       1676 |             torch.optim.radam
import time:      1589 |       1589 |             torch.optim.rmsprop
import time:      1565 |       1565 |             torch.optim.rprop
import time:      1542 |       1542 |             torch.optim.sgd
import time:      4666 |       4666 |               torch.optim._functional
import time:      1533 |       6199 |             torch.optim.sparse_adam
import time:      3949 |      57248 |           torch.optim
import time:       435 |        435 |               gzip
import time:      2316 |       2316 |                 torch.profiler._utils
import time:      5990 |       8306 |               torch.profiler._memory_profiler
import time:      2648 |      11388 |             torch.profiler.profiler
import time:      6472 |       6472 |             torch.profiler.itt
import time:      3599 |      21458 |           torch.profiler
import time:      3355 |       3355 |           torch.special
import time:      1904 |       1904 |             torch.xpu._utils
import time:      2443 |       2443 |             torch.xpu.streams
import time:     10427 |      10427 |             torch.xpu.memory
import time:      5429 |       5429 |             torch.xpu.random
import time:      4125 |      24325 |           torch.xpu
import time:      3229 |       3229 |               torch.signal.windows.windows
import time:      4755 |       7983 |             torch.signal.windows
import time:      3118 |      11100 |           torch.signal
import time:      2758 |       2758 |           torch.ao
import time:      3359 |       3359 |               torch.ao.nn
import time:      3281 |       3281 |                 torch.ao.nn.intrinsic.modules.fused
import time:      4794 |       8074 |               torch.ao.nn.intrinsic.modules
import time:      4279 |      15710 |             torch.ao.nn.intrinsic
import time:      2902 |       2902 |               torch.nn.intrinsic.modules.fused
import time:      2744 |       5645 |             torch.nn.intrinsic.modules
import time:      6317 |       6317 |                             torch.ao.nn.qat.modules.conv
import time:      2261 |       2261 |                             torch.ao.nn.qat.modules.embedding_ops
import time:      1933 |       1933 |                             torch.ao.nn.qat.modules.linear
import time:      3058 |      13567 |                           torch.ao.nn.qat.modules
import time:      2653 |      16219 |                         torch.ao.nn.qat
import time:      3579 |      19797 |                       torch.ao.nn.intrinsic.qat.modules.conv_fused
import time:      1812 |       1812 |                       torch.ao.nn.intrinsic.qat.modules.linear_fused
import time:      1840 |       1840 |                       torch.ao.nn.intrinsic.qat.modules.linear_relu
import time:      3865 |      27313 |                     torch.ao.nn.intrinsic.qat.modules
import time:      2696 |      30008 |                   torch.ao.nn.intrinsic.qat
import time:      5850 |      35858 |                 torch.nn.intrinsic.qat.modules.conv_fused
import time:      2116 |       2116 |                 torch.nn.intrinsic.qat.modules.linear_fused
import time:      1539 |       1539 |                 torch.nn.intrinsic.qat.modules.linear_relu
import time:      4071 |      43584 |               torch.nn.intrinsic.qat.modules
import time:      2227 |      45810 |             torch.nn.intrinsic.qat
import time:      3344 |       3344 |                                         torch.ao.nn.quantizable.modules.activation
import time:      2220 |       2220 |                                         torch.ao.nn.quantizable.modules.rnn
import time:      3730 |       9293 |                                       torch.ao.nn.quantizable.modules
import time:      3058 |      12351 |                                     torch.ao.nn.quantizable
import time:      3333 |       3333 |                                     torch.ao.nn.quantized.modules.activation
import time:      2420 |       2420 |                                     torch.ao.nn.quantized.modules.batchnorm
import time:      1788 |       1788 |                                       torch.ao.nn.quantized.modules.utils
import time:      3167 |       4954 |                                     torch.ao.nn.quantized.modules.conv
import time:      4059 |       4059 |                                     torch.ao.nn.quantized.modules.dropout
import time:      2128 |       2128 |                                     torch.ao.nn.quantized.modules.embedding_ops
import time:      2055 |       2055 |                                     torch.ao.nn.quantized.modules.functional_modules
import time:      2203 |       2203 |                                     torch.ao.nn.quantized.modules.linear
import time:      2226 |       2226 |                                     torch.ao.nn.quantized.modules.normalization
import time:      2421 |       2421 |                                     torch.ao.nn.quantized.modules.rnn
import time:      3867 |      42012 |                                   torch.ao.nn.quantized.modules
import time:        82 |      42094 |                                 torch.ao.nn.quantized.modules.utils
import time:      2834 |      44927 |                               torch.ao.nn.quantized.functional
import time:      2979 |      47906 |                             torch.ao.nn.quantized
import time:      2782 |      50687 |                           torch.ao.nn.intrinsic.quantized.modules.bn_relu
import time:      1994 |       1994 |                           torch.ao.nn.intrinsic.quantized.modules.conv_add
import time:      6028 |       6028 |                           torch.ao.nn.intrinsic.quantized.modules.conv_relu
import time:      2207 |       2207 |                           torch.ao.nn.intrinsic.quantized.modules.linear_relu
import time:      4046 |      64960 |                         torch.ao.nn.intrinsic.quantized.modules
import time:      3169 |      68129 |                       torch.ao.nn.intrinsic.quantized
import time:      3485 |       3485 |                               torch.ao.nn.quantized.dynamic.modules.conv
import time:      2343 |       2343 |                               torch.ao.nn.quantized.dynamic.modules.linear
import time:      3191 |       3191 |                               torch.ao.nn.quantized.dynamic.modules.rnn
import time:      4039 |      13057 |                             torch.ao.nn.quantized.dynamic.modules
import time:      2267 |      15324 |                           torch.ao.nn.quantized.dynamic
import time:      3099 |      18422 |                         torch.ao.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:      3606 |      22028 |                       torch.ao.nn.intrinsic.quantized.dynamic.modules
import time:      3118 |      93273 |                     torch.ao.nn.intrinsic.quantized.dynamic
import time:      2633 |      95905 |                   torch.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:      5854 |     101759 |                 torch.nn.intrinsic.quantized.dynamic.modules
import time:     10490 |     112248 |               torch.nn.intrinsic.quantized.dynamic
import time:      2722 |       2722 |                 torch.nn.intrinsic.quantized.modules.bn_relu
import time:      2032 |       2032 |                 torch.nn.intrinsic.quantized.modules.conv_relu
import time:      1699 |       1699 |                 torch.nn.intrinsic.quantized.modules.linear_relu
import time:      2876 |       9328 |               torch.nn.intrinsic.quantized.modules
import time:      2610 |     124185 |             torch.nn.intrinsic.quantized
import time:      3258 |     194607 |           torch.nn.intrinsic
import time:      2757 |       2757 |                           torch.ao.nn.qat.dynamic.modules.linear
import time:      3769 |       6526 |                         torch.ao.nn.qat.dynamic.modules
import time:      2587 |       9112 |                       torch.ao.nn.qat.dynamic
import time:        81 |       9192 |                     torch.ao.nn.qat.dynamic.modules
import time:        97 |       9289 |                   torch.ao.nn.qat.dynamic.modules.linear
import time:      3169 |      12457 |                 torch.nn.qat.dynamic.modules.linear
import time:      4182 |      16638 |               torch.nn.qat.dynamic.modules
import time:      2817 |      19454 |             torch.nn.qat.dynamic
import time:      2964 |       2964 |               torch.nn.qat.modules.conv
import time:      1612 |       1612 |               torch.nn.qat.modules.embedding_ops
import time:      2342 |       2342 |               torch.nn.qat.modules.linear
import time:      2551 |       9467 |             torch.nn.qat.modules
import time:      3029 |      31950 |           torch.nn.qat
import time:      5649 |       5649 |             torch.nn.quantizable.modules
import time:      3837 |       9485 |           torch.nn.quantizable
import time:      2704 |       2704 |             torch.nn.quantized.dynamic
import time:      1690 |       1690 |             torch.nn.quantized.functional
import time:      2196 |       2196 |             torch.nn.quantized.modules
import time:      3175 |       9763 |           torch.nn.quantized
import time:      2316 |       2316 |           torch._size_docs
import time:      2076 |       2076 |           torch._storage_docs
import time:      3093 |       3093 |           torch._tensor_docs
import time:      2425 |       2425 |                         torch.ao.quantization.quant_type
import time:      2648 |       5073 |                       torch.ao.quantization.utils
import time:      3031 |       8103 |                     torch.ao.quantization.observer
import time:      3312 |      11414 |                   torch.ao.quantization.fake_quantize
import time:      2263 |       2263 |                     torch.ao.quantization.fuser_method_mappings
import time:      2061 |       4324 |                   torch.ao.quantization.fuse_modules
import time:      2476 |       2476 |                     torch.ao.quantization.pt2e
import time:      2910 |       2910 |                         torch.ao.ns
import time:      3526 |       6435 |                       torch.ao.ns.fx
import time:      2319 |       2319 |                       torch.ao.ns.fx.ns_types
import time:      3483 |      12236 |                     torch.ao.ns.fx.utils
import time:      2454 |       2454 |                                   torch._dispatch
import time:       358 |        358 |                                         unittest.util
import time:       601 |        959 |                                       unittest.result
import time:      1147 |       1147 |                                       unittest.case
import time:       448 |        448 |                                       unittest.suite
import time:       961 |        961 |                                       unittest.loader
import time:      1078 |       1078 |                                           gettext
import time:      2929 |       4007 |                                         argparse
import time:       186 |        186 |                                           unittest.signals
import time:       388 |        574 |                                         unittest.runner
import time:       578 |       5159 |                                       unittest.main
import time:       905 |       9575 |                                     unittest
import time:      1128 |       1128 |                                     pkgutil
import time:      1921 |      12623 |                                   unittest.mock
import time:      2714 |      17790 |                                 torch._dispatch.python
import time:      8098 |       8098 |                                 torch._guards
import time:      1566 |       1566 |                                             torch._logging.structured
import time:      3919 |       5484 |                                           torch._logging._internal
import time:      2129 |       7613 |                                         torch._logging._registrations
import time:      2849 |      10461 |                                       torch._logging
import time:      1710 |       1710 |                                         torch.utils._mode_utils
import time:      9718 |      11428 |                                       torch._subclasses.meta_utils
import time:      5508 |       5508 |                                       torch.utils._backport_slots
import time:      5307 |       5307 |                                       torch.utils._stats
import time:      3948 |       3948 |                                         torch.fx.experimental.sym_node
import time:     10058 |      14005 |                                       torch._subclasses._fake_tensor_utils
import time:      2575 |       2575 |                                         torch._custom_op
import time:      9015 |      11589 |                                       torch._subclasses.fake_impls
import time:     13911 |      72206 |                                     torch._subclasses.fake_tensor
import time:      5912 |       5912 |                                     torch._subclasses.fake_utils
import time:      4039 |      82156 |                                   torch._subclasses
import time:       196 |      82351 |                                 torch._subclasses.meta_utils
import time:      2923 |     111160 |                               torch.fx.passes.shape_prop
import time:      2430 |       2430 |                               pydot
import time:      4452 |     118041 |                             torch.fx.passes.graph_drawer
import time:      1955 |       1955 |                             torch.fx.passes.graph_manipulation
import time:      5567 |       5567 |                                     torch.fx.passes.utils.matcher_utils
import time:      2238 |       7805 |                                   torch.fx.passes.utils.common
import time:      2122 |       9927 |                                 torch.fx.passes.utils
import time:      2389 |       2389 |                                 torch.fx.passes.tools_common
import time:      4460 |      16775 |                               torch.fx.passes.split_utils
import time:      2565 |      19339 |                             torch.fx.passes.net_min_base
import time:      2031 |       2031 |                             torch.fx.passes.operator_support
import time:      1505 |       1505 |                             torch.fx.passes.param_fetch
import time:      2352 |       2352 |                             torch.fx.passes.reinplace
import time:      1283 |       1283 |                               torch.fx._utils
import time:     12908 |      12908 |                                 torch.utils._thunk
import time:      8098 |       8098 |                                 torch.fx.experimental._backward_state
import time:      4175 |      25180 |                               torch.fx.experimental.proxy_tensor
import time:      1906 |      28368 |                             torch.fx.passes.runtime_assert
import time:      7732 |       7732 |                             torch.fx.passes.split_module
import time:      5459 |       5459 |                             torch.fx.passes.splitter_base
import time:      2809 |     189587 |                           torch.fx.passes
import time:        97 |     189683 |                         torch.fx.passes.utils
import time:      2681 |     192364 |                       torch.fx.passes.utils.source_matcher_utils
import time:      2051 |     194414 |                     torch.ao.quantization.pt2e.graph_utils
import time:      1989 |       1989 |                             torch.fx.passes.infra.pass_base
import time:      4315 |       6303 |                           torch.fx.passes.infra.pass_manager
import time:      6686 |      12988 |                         torch.fx.passes.infra
import time:      1075 |      14063 |                       torch.fx.passes.infra.pass_base
import time:      1747 |       1747 |                             torch.export._tree_utils
import time:      6108 |       6108 |                             torch.export.graph_signature
import time:      1526 |       1526 |                                   torch._custom_op.autograd
import time:      2835 |       4361 |                                 torch._custom_op.impl
import time:      1802 |       6162 |                               torch._custom_ops
import time:      3048 |       3048 |                                     torch._subclasses.functional_tensor
import time:      2364 |       2364 |                                     torch._higher_order_ops.utils
import time:      2376 |       7787 |                                   torch._higher_order_ops.cond
import time:      2120 |       2120 |                                   torch._higher_order_ops.flex_attention
import time:      1500 |       1500 |                                   torch._higher_order_ops.hints_wrap
import time:      1697 |       1697 |                                   torch._higher_order_ops.invoke_subgraph
import time:      2608 |       2608 |                                   torch._higher_order_ops.prim_hop_base
import time:      2163 |       2163 |                                   torch._higher_order_ops.scan
import time:      2433 |       2433 |                                   torch._higher_order_ops.while_loop
import time:      5877 |      26180 |                                 torch._higher_order_ops
import time:      7063 |      33242 |                               torch._higher_order_ops.strict_mode
import time:      2331 |      41734 |                             torch._export.wrappers
import time:      5446 |       5446 |                             torch._export.utils
import time:      3387 |      58420 |                           torch._export
import time:       121 |      58541 |                         torch._export.utils
import time:      2588 |      61128 |                       torch.export.decomp_utils
import time:      2066 |       2066 |                           torch._export.verifier
import time:      4593 |       6658 |                         torch.export.exported_program
import time:      4315 |      10973 |                       torch.export.dynamic_shapes
import time:      3229 |       3229 |                                 torch._functorch._aot_autograd
import time:      3052 |       6280 |                               torch._functorch._aot_autograd.utils
import time:      2099 |       8379 |                             torch._higher_order_ops.torchbind
import time:      6454 |      14832 |                           torch._higher_order_ops.effects
import time:     12440 |      27271 |                         torch.export._remove_effect_tokens_pass
import time:      7351 |      34622 |                       torch.export.unflatten
import time:      7850 |     128633 |                     torch.export
import time:     27444 |     365201 |                   torch.ao.quantization.pt2e._numeric_debugger
import time:      1994 |       1994 |                   torch.ao.quantization.pt2e.export_utils
import time:      2275 |       2275 |                   torch.ao.quantization.qconfig
import time:      1442 |       1442 |                   torch.ao.quantization.qconfig_mapping
import time:      2415 |       2415 |                           torch.ao.nn.quantized.reference.modules.utils
import time:      3776 |       6190 |                         torch.ao.nn.quantized.reference.modules.conv
import time:      1832 |       1832 |                         torch.ao.nn.quantized.reference.modules.linear
import time:      1897 |       1897 |                         torch.ao.nn.quantized.reference.modules.rnn
import time:      2026 |       2026 |                         torch.ao.nn.quantized.reference.modules.sparse
import time:      6355 |      18298 |                       torch.ao.nn.quantized.reference.modules
import time:     16218 |      34515 |                     torch.ao.nn.quantized.reference
import time:      1634 |       1634 |                             torch.ao.nn.sparse.quantized.linear
import time:      1969 |       1969 |                             torch.ao.nn.sparse.quantized.utils
import time:      3107 |       6710 |                           torch.ao.nn.sparse.quantized.dynamic.linear
import time:      5905 |      12614 |                         torch.ao.nn.sparse.quantized.dynamic
import time:      3374 |      15987 |                       torch.ao.nn.sparse.quantized
import time:      9580 |      25567 |                     torch.ao.nn.sparse
import time:      1422 |       1422 |                     torch.ao.quantization.stubs
import time:      3407 |      64910 |                   torch.ao.quantization.quantization_mappings
import time:      1942 |       1942 |                   torch.ao.quantization.quantize
import time:      1394 |       1394 |                   torch.ao.quantization.quantize_jit
import time:      3445 |     458335 |                 torch.ao.quantization
import time:        79 |     458413 |               torch.ao.quantization.fake_quantize
import time:      2155 |     460568 |             torch.quantization.fake_quantize
import time:      1327 |       1327 |             torch.quantization.fuse_modules
import time:      1718 |       1718 |             torch.quantization.fuser_method_mappings
import time:      1368 |       1368 |             torch.quantization.observer
import time:      1215 |       1215 |             torch.quantization.qconfig
import time:      1215 |       1215 |             torch.quantization.quant_type
import time:      1587 |       1587 |             torch.quantization.quantization_mappings
import time:      1328 |       1328 |             torch.quantization.quantize
import time:      1343 |       1343 |             torch.quantization.quantize_jit
import time:      4451 |       4451 |             torch.quantization.stubs
import time:      3328 |     479444 |           torch.quantization
import time:      2164 |       2164 |           torch.quasirandom
import time:      1411 |       1411 |           torch.multiprocessing._atfork
import time:      1820 |       1820 |           torch._lobpcg
import time:      1672 |       1672 |               torch.masked._docs
import time:     12039 |      12039 |                     torch.masked.maskedtensor.core
import time:     14054 |      26093 |                   torch.masked.maskedtensor.binary
import time:      3249 |       3249 |                   torch.masked.maskedtensor.passthrough
import time:      2094 |       2094 |                     torch.masked.maskedtensor.creation
import time:      2976 |       5070 |                   torch.masked.maskedtensor.reductions
import time:      5764 |       5764 |                   torch.masked.maskedtensor.unary
import time:      2219 |      42393 |                 torch.masked.maskedtensor
import time:        90 |      42483 |               torch.masked.maskedtensor.core
import time:      2682 |      46836 |             torch.masked._ops
import time:      3115 |      49950 |           torch.masked
import time:      5013 |       5013 |           torch.utils.dlpack
import time:      2240 |       2240 |               torch.fx.experimental.const_fold
import time:      5412 |       7651 |             torch._functorch.eager_transforms
import time:      1925 |       1925 |             torch._functorch.functional_call
import time:      1452 |       1452 |             torch._functorch.batch_norm_replacement
import time:      3216 |      14242 |           torch.func
import time:      1697 |       1697 |                     torch.utils._content_store
import time:      1841 |       3537 |                   torch._prims.debug_prims
import time:      1853 |       1853 |                   torch._prims.rng_prims
import time:      2122 |       2122 |                   torch._prims_common.wrappers
import time:   1590711 |    1598222 |                 torch._prims
import time:      2272 |       2272 |                 torch._higher_order_ops.out_dtype
import time:     37574 |    1638067 |               torch._decomp.decompositions
import time:      3016 |       3016 |                 torch._refs._conversions
import time:      5715 |       5715 |                 torch._refs.fft
import time:      4170 |       4170 |                 torch._refs.linalg
import time:      3587 |       3587 |                   torch._refs.nn
import time:      8938 |      12525 |                 torch._refs.nn.functional
import time:      4976 |       4976 |                 torch._refs.special
import time:     45889 |      76288 |               torch._refs
import time:      3265 |    1717619 |             torch._decomp
import time:     98883 |    1816502 |           torch._meta_registrations
import time:      2843 |       2843 |           torch.compiler
import time:    244819 |    5473110 |         torch
import time:      2194 |    5475304 |       stable_pretraining.utils.batch_utils
import time:      1155 |       1155 |               logging.handlers
import time:       841 |        841 |               socketserver
