epoch,eval/knn_probe_top1,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_epoch,fit/inv_step,fit/loss_epoch,fit/loss_step,fit/sigreg_epoch,fit/sigreg_step,hparams/lr_default_0,hparams/lr_linear_probe,lr-AdamW,lr-AdamW-1,queue/embedding_fill_pct,queue/label_fill_pct,rankme,rankme/condition_number,rankme/entropy,rankme/top_singular_value,step,train/linear_probe_loss_epoch,train/linear_probe_loss_step,validate/inv_epoch,validate/inv_step,validate/loss_epoch,validate/loss_step,validate/sigreg_epoch,validate/sigreg_step
,,,,,,,,,,,,,,1.2780090497737552e-05,0.03,,,,,,,49,,,,,,,,
0,,,,,,,0.4124237298965454,,2.824532985687256,,120.5625,1.2959276318724733e-05,0.029999999329447746,,,1.0,1.0,,,,,49,,2.2413740158081055,,,,,,
,,,,,,,,,,,,,,2.1739366515837093e-05,0.03,,,,,,,99,,,,,,,,
0,,,,,,,0.6128202080726624,,1.9136013984680176,,65.0625,2.1918551283306442e-05,0.029999999329447746,,,1.0,1.0,,,,,99,,2.266392707824707,,,,,,
,,,,,,,,,,,,,,3.06986425339366e-05,0.03,,,,,,,149,,,,,,,,
0,,,,,,,0.6234740018844604,,1.6141966581344604,,49.53125,3.087782897637226e-05,0.029999999329447746,,,1.0,1.0,,,,,149,,2.5121212005615234,,,,,,
,,,,,,,,,,,,,,3.9657918552036127e-05,0.03,,,,,,,199,,,,,,,,
0,,,,,,,0.6401553153991699,,1.47413969039917,,41.6875,3.983710485044867e-05,0.029999999329447746,,,1.0,1.0,,,,,199,,2.4140212535858154,,,,,,
,,,0.0023437500931322575,,0.4296875,,,,,,,,,,,1.0,1.0,,,,,0,,,,0.0,,0.0,,0.0
,,,0.0031250000465661287,,0.421875,,,,,,,,,,,1.0,1.0,,,,,1,,,,0.0,,0.0,,0.0
,,,0.028162816539406776,,0.6054272055625916,,,,,,,,,,,1.0,1.0,,,,,2,,,,0.0,,0.0,,0.0
,,,0.0166015625,,0.8515625,,,,,,,,,,,1.0,1.0,,,,,3,,,,0.0,,0.0,,0.0
,,,0.0126953125,,0.8203125,,,,,,,,,,,1.0,1.0,,,,,4,,,,0.0,,0.0,,0.0
,,,0.04679487645626068,,0.9022436141967773,,,,,,,,,,,1.0,1.0,,,,,5,,,,0.0,,0.0,,0.0
,,,0.04765624925494194,,0.9765625,,,,,,,,,,,1.0,1.0,,,,,6,,,,0.0,,0.0,,0.0
,,,0.0503472238779068,,0.96875,,,,,,,,,,,1.0,1.0,,,,,7,,,,0.0,,0.0,,0.0
,,,0.08619210869073868,,0.963121771812439,,,,,,,,,,,1.0,1.0,,,,,8,,,,0.0,,0.0,,0.0
,,,0.0538194440305233,,0.890625,,,,,,,,,,,1.0,1.0,,,,,9,,,,0.0,,0.0,,0.0
,,,0.0494791679084301,,0.8125,,,,,,,,,,,1.0,1.0,,,,,10,,,,0.0,,0.0,,0.0
,,,0.0460069440305233,,0.8515625,,,,,,,,,,,1.0,1.0,,,,,11,,,,0.0,,0.0,,0.0
,,,0.10992592573165894,,0.7253333330154419,,,,,,,,,,,1.0,1.0,,,,,12,,,,0.0,,0.0,,0.0
,,,0.0633680522441864,,0.7578125,,,,,,,,,,,1.0,1.0,,,,,13,,,,0.0,,0.0,,0.0
,,,0.0616319440305233,,0.6796875,,,,,,,,,,,1.0,1.0,,,,,14,,,,0.0,,0.0,,0.0
,,,0.11515717208385468,,0.7829132080078125,,,,,,,,,,,1.0,1.0,,,,,15,,,,0.0,,0.0,,0.0
,,,0.03750000149011612,,0.9296875,,,,,,,,,,,1.0,1.0,,,,,16,,,,0.0,,0.0,,0.0
,,,0.05078125,,0.953125,,,,,,,,,,,1.0,1.0,,,,,17,,,,0.0,,0.0,,0.0
,,,0.06661856919527054,,0.7224025726318359,,,,,,,,,,,1.0,1.0,,,,,18,,,,0.0,,0.0,,0.0
,,,0.02690972201526165,,0.5625,,,,,,,,,,,1.0,1.0,,,,,19,,,,0.0,,0.0,,0.0
