epoch,eval/knn_probe_top1,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_epoch,fit/inv_step,fit/loss_epoch,fit/loss_step,fit/sigreg_epoch,fit/sigreg_step,hparams/lr_default_0,hparams/lr_linear_probe,lr-AdamW,lr-AdamW-1,queue/embedding_fill_pct,queue/label_fill_pct,rankme,rankme/condition_number,rankme/entropy,rankme/top_singular_value,step,train/linear_probe_loss_epoch,train/linear_probe_loss_step,validate/inv_epoch,validate/inv_step,validate/loss_epoch,validate/loss_step,validate/sigreg_epoch,validate/sigreg_step
,,,,,,,,,,,,,,1.2780090497737552e-05,0.03,,,,,,,49,,,,,,,,
0,,,,,,,0.4104023277759552,,2.877199172973633,,123.375,1.2959276318724733e-05,0.029999999329447746,,,1.0,1.0,,,,,49,,2.307664394378662,,,,,,
,,,,,,,,,,,,,,2.1739366515837093e-05,0.03,,,,,,,99,,,,,,,,
0,,,,,,,0.6053169369697571,,1.8855903148651123,,64.0,2.1918551283306442e-05,0.029999999329447746,,,1.0,1.0,,,,,99,,2.308907985687256,,,,,,
,,,,,,,,,,,,,,3.06986425339366e-05,0.03,,,,,,,149,,,,,,,,
0,,,,,,,0.6214672923088074,,1.6351392269134521,,50.6875,3.087782897637226e-05,0.029999999329447746,,,1.0,1.0,,,,,149,,2.5686662197113037,,,,,,
,,,,,,,,,,,,,,3.9657918552036127e-05,0.03,,,,,,,199,,,,,,,,
0,,,,,,,0.6749892830848694,,1.4542860984802246,,38.96875,3.983710485044867e-05,0.029999999329447746,,,1.0,1.0,,,,,199,,2.7395143508911133,,,,,,
,,,0.0007812500116415322,,0.171875,,,,,,,,,,,1.0,1.0,,,,,0,,,,0.0,,0.0,,0.0
,,,0.0031250000465661287,,0.125,,,,,,,,,,,1.0,1.0,,,,,1,,,,0.0,,0.0,,0.0
,,,0.002970297122374177,,0.4422442317008972,,,,,,,,,,,1.0,1.0,,,,,2,,,,0.0,,0.0,,0.0
,,,0.0009765625,,0.59375,,,,,,,,,,,1.0,1.0,,,,,3,,,,0.0,,0.0,,0.0
,,,0.0029296875,,0.6796875,,,,,,,,,,,1.0,1.0,,,,,4,,,,0.0,,0.0,,0.0
,,,0.06232193857431412,,0.8333333730697632,,,,,,,,,,,1.0,1.0,,,,,5,,,,0.0,,0.0,,0.0
,,,0.0498046875,,0.9609375,,,,,,,,,,,1.0,1.0,,,,,6,,,,0.0,,0.0,,0.0
,,,0.04374999925494194,,0.9296875,,,,,,,,,,,1.0,1.0,,,,,7,,,,0.0,,0.0,,0.0
,,,0.09637650102376938,,0.8078902363777161,,,,,,,,,,,1.0,1.0,,,,,8,,,,0.0,,0.0,,0.0
,,,0.0295138880610466,,0.765625,,,,,,,,,,,1.0,1.0,,,,,9,,,,0.0,,0.0,,0.0
,,,0.0416666679084301,,0.75,,,,,,,,,,,1.0,1.0,,,,,10,,,,0.0,,0.0,,0.0
,,,0.0390625,,0.8203125,,,,,,,,,,,1.0,1.0,,,,,11,,,,0.0,,0.0,,0.0
,,,0.0560000017285347,,0.7093333005905151,,,,,,,,,,,1.0,1.0,,,,,12,,,,0.0,,0.0,,0.0
,,,0.046875,,0.65625,,,,,,,,,,,1.0,1.0,,,,,13,,,,0.0,,0.0,,0.0
,,,0.04531250149011612,,0.625,,,,,,,,,,,1.0,1.0,,,,,14,,,,0.0,,0.0,,0.0
,,,0.06546323001384735,,0.7418301105499268,,,,,,,,,,,1.0,1.0,,,,,15,,,,0.0,,0.0,,0.0
,,,0.0087890625,,0.59375,,,,,,,,,,,1.0,1.0,,,,,16,,,,0.0,,0.0,,0.0
,,,0.0052083334885537624,,0.6640625,,,,,,,,,,,1.0,1.0,,,,,17,,,,0.0,,0.0,,0.0
,,,0.02621452696621418,,0.6504329442977905,,,,,,,,,,,1.0,1.0,,,,,18,,,,0.0,,0.0,,0.0
,,,0.0146484375,,0.5,,,,,,,,,,,1.0,1.0,,,,,19,,,,0.0,,0.0,,0.0
,,,0.02120535634458065,,0.5390625,,,,,,,,,,,1.0,1.0,,,,,20,,,,0.0,,0.0,,0.0
,,,0.05471149832010269,,0.7315068244934082,,,,,,,,,,,1.0,1.0,,,,,21,,,,0.0,,0.0,,0.0
,,,0.0390625,,0.8125,,,,,,,,,,,1.0,1.0,,,,,22,,,,0.0,,0.0,,0.0
,,,0.02864583395421505,,0.828125,,,,,,,,,,,1.0,1.0,,,,,23,,,,0.0,,0.0,,0.0
,,,0.07161329686641693,,0.8967980146408081,,,,,,,,,,,1.0,1.0,,,,,24,,,,0.0,,0.0,,0.0
,,,0.0323660708963871,,0.84375,,,,,,,,,,,1.0,1.0,,,,,25,,,,0.0,,0.0,,0.0
,,,0.02083333395421505,,0.8359375,,,,,,,,,,,1.0,1.0,,,,,26,,,,0.0,,0.0,,0.0
,,,0.06490565836429596,,0.8284276723861694,,,,,,,,,,,1.0,1.0,,,,,27,,,,0.0,,0.0,,0.0
,,,0.0457589291036129,,0.8515625,,,,,,,,,,,1.0,1.0,,,,,28,,,,0.0,,0.0,,0.0
,,,0.044921875,,0.8203125,,,,,,,,,,,1.0,1.0,,,,,29,,,,0.0,,0.0,,0.0
,,,0.043529413640499115,,0.5050615668296814,,,,,,,,,,,1.0,1.0,,,,,30,,,,0.0,,0.0,,0.0
,,,0.0015625000232830644,,0.1796875,,,,,,,,,,,1.0,1.0,,,,,31,,,,0.0,,0.0,,0.0
,,,0.0023437500931322575,,0.15625,,,,,,,,,,,1.0,1.0,,,,,32,,,,0.0,,0.0,,0.0
,,,0.005747126415371895,,0.4004926085472107,,,,,,,,,,,1.0,1.0,,,,,33,,,,0.0,,0.0,,0.0
,,,0.0017361111240461469,,0.625,,,,,,,,,,,1.0,1.0,,,,,34,,,,0.0,,0.0,,0.0
,,,0.001953125,,0.703125,,,,,,,,,,,1.0,1.0,,,,,35,,,,0.0,,0.0,,0.0
,,,0.04029850661754608,,0.8471984267234802,,,,,,,,,,,1.0,1.0,,,,,36,,,,0.0,,0.0,,0.0
,,,0.0556640625,,0.9375,,,,,,,,,,,1.0,1.0,,,,,37,,,,0.0,,0.0,,0.0
,,,0.04062499850988388,,0.953125,,,,,,,,,,,1.0,1.0,,,,,38,,,,0.0,,0.0,,0.0
,,,0.08247863501310349,,0.8064713478088379,,,,,,,,,,,1.0,1.0,,,,,39,,,,0.0,,0.0,,0.0
,,,0.0419921875,,0.7734375,,,,,,,,,,,1.0,1.0,,,,,40,,,,0.0,,0.0,,0.0
,,,0.0425347238779068,,0.78125,,,,,,,,,,,1.0,1.0,,,,,41,,,,0.0,,0.0,,0.0
