epoch,fit/inv_step,fit/loss_step,fit/sigreg_step,hparams/lr_default_0,hparams/lr_inet_probe,lr-AdamW,lr-AdamW-1,queue/embedding_fill_pct,step,train/inet_probe_loss_step
,,,,,,1.688e-05,0.001,,49,
0,0.19034439325332642,4.377844333648682,84.0,1.6879999748198316e-05,0.0010000000474974513,,,1.0,49,7.269287109375
,,,,,,2.876000000000001e-05,0.001,,99,
0,0.3092055916786194,3.1685805320739746,57.25,2.8759999622707255e-05,0.0010000000474974513,,,1.0,99,7.3125
,,,,,,4.0640000000000024e-05,0.001,,149,
0,0.444635272026062,2.3352603912353516,37.75,4.0639999497216195e-05,0.0010000000474974513,,,1.0,149,7.28564453125
,,,,,,5.252000000000003e-05,0.001,,199,
0,0.5259822607040405,1.9400447607040405,28.25,5.450000026030466e-05,0.0010000000474974513,,,1.0,199,7.16015625
,,,,,,6.638000000000004e-05,0.001,,249,
0,0.5837780237197876,1.6931530237197876,22.25,6.6380001953803e-05,0.0010000000474974513,,,1.0,249,6.9840087890625
,,,,,,7.826000000000004e-05,0.001,,299,
0,0.5427479147911072,1.573997974395752,20.625,7.825999637134373e-05,0.0010000000474974513,,,1.0,299,7.510009765625
,,,,,,9.014000000000006e-05,0.001,,349,
0,0.5777367353439331,1.476174235343933,18.0,9.013999806484208e-05,0.0010000000474974513,,,1.0,349,7.532958984375
,,,,,,0.00010202000000000004,0.001,,399,
0,0.5975334644317627,1.3983147144317627,16.0,0.00010399999882793054,0.0010000000474974513,,,1.0,399,7.300048828125
,,,,,,0.00011588000000000001,0.001,,449,
0,0.612841010093689,1.319872260093689,14.125,0.00011588000052142888,0.0010000000474974513,,,1.0,449,7.28369140625
,,,,,,0.00012776,0.001,,499,
0,0.6298738718032837,1.3408113718032837,14.1875,0.0001277599949389696,0.0010000000474974513,,,1.0,499,7.0902099609375
,,,,,,0.00013964,0.001,,549,
0,0.5966733694076538,1.2451108694076538,13.0,0.00013964000390842557,0.0010000000474974513,,,1.0,549,7.4912109375
,,,,,,0.00015151999999999999,0.001,,599,
0,0.619501531124115,1.2562203407287598,12.75,0.00015350000467151403,0.0010000000474974513,,,1.0,599,7.34033203125
,,,,,,0.00016537999999999994,0.001,,649,
0,0.7123726606369019,1.2709664106369019,11.1875,0.00016537999908905476,0.0010000000474974513,,,1.0,649,7.197509765625
,,,,,,0.00017725999999999983,0.001,,699,
0,0.6870505809783936,1.2065818309783936,10.375,0.0001772599935065955,0.0010000000474974513,,,1.0,699,7.1761474609375
,,,,,,0.00018913999999999983,0.001,,749,
0,0.6126914620399475,1.1361289024353027,10.4375,0.00018914000247605145,0.0010000000474974513,,,1.0,749,7.49755859375
,,,,,,0.0002010199999999998,0.001,,799,
0,0.6789138317108154,1.1730544567108154,9.875,0.00020300000323913991,0.0010000000474974513,,,1.0,799,7.303466796875
,,,,,,0.00021487999999999973,0.001,,849,
0,0.6050727367401123,1.0796821117401123,9.5,0.00021487999765668064,0.0010000000474974513,,,1.0,849,7.16064453125
