epoch,fit/inv_step,fit/loss_step,fit/sigreg_step,hparams/lr_default_0,hparams/lr_inet_probe,lr-AdamW,lr-AdamW-1,queue/embedding_fill_pct,step,train/inet_probe_loss_step
,,,,,,1.7121439280359813e-05,0.001,,49,
0,0.4301720857620239,2.1567344665527344,34.5,1.736881495162379e-05,0.0010000000474974513,,,1.0,49,7.302490234375
,,,,,,2.949025487256372e-05,0.001,,99,
0,0.5773711204528809,1.5695586204528809,19.875,2.9737631848547608e-05,0.0010000000474974513,,,1.0,99,7.283203125
,,,,,,4.1859070464767634e-05,0.001,,149,
0,0.6230763792991638,1.3340139389038086,14.1875,4.210644692648202e-05,0.0010000000474974513,,,1.0,149,7.150634765625
,,,,,,5.422788605697153e-05,0.001,,199,
0,0.6201672554016113,1.2686047554016113,12.9375,5.4475262004416436e-05,0.0010000000474974513,,,1.0,199,7.0418701171875
,,,,,,6.659670164917548e-05,0.001,,249,
0,0.6374683380126953,1.2194995880126953,11.625,6.684407708235085e-05,0.0010000000474974513,,,1.0,249,6.8583984375
,,,,,,7.896551724137947e-05,0.001,,299,
0,0.5607401132583618,1.0998026132583618,10.8125,7.921289216028526e-05,0.0010000000474974513,,,1.0,299,7.349853515625
,,,,,,9.133433283358333e-05,0.001,,349,
0,0.5983181595802307,1.086599349975586,9.75,9.158170723821968e-05,0.0010000000474974513,,,1.0,349,7.4085693359375
,,,,,,0.00010370314842578718,0.001,,399,
0,0.5725778937339783,0.9846872687339783,8.25,0.00010395052231615409,0.0010000000474974513,,,1.0,399,7.1104736328125
,,,,,,0.00011607196401799112,0.001,,449,
0,0.5982526540756226,1.0103620290756226,8.25,0.0001163193373940885,0.0010000000474974513,,,1.0,449,7.101318359375
,,,,,,0.00012844077961019512,0.001,,499,
0,0.6316590905189514,0.9812684655189514,7.0,0.00012868815974798054,0.0010000000474974513,,,1.0,499,6.9193115234375
,,,,,,0.00014080959520239915,0.001,,549,
0,0.5761953592300415,0.9394766092300415,7.25,0.00014105696754995733,0.0010000000474974513,,,1.0,549,7.246337890625
,,,,,,0.0001531784107946031,0.001,,599,
0,0.588231086730957,0.963231086730957,7.5,0.00015342578990384936,0.0010000000474974513,,,1.0,599,7.067626953125
,,,,,,0.00016554722638680697,0.001,,649,
0,0.6063575148582458,0.9891700148582458,7.65625,0.00016579459770582616,0.0010000000474974513,,,1.0,649,6.966064453125
,,,,,,0.00017791604197901095,0.001,,699,
0,0.5887726545333862,0.9852570295333862,7.9375,0.0001781634200597182,0.0010000000474974513,,,1.0,699,6.9736328125
,,,,,,0.00019028485757121468,0.001,,749,
0,0.5755237340927124,0.9231799840927124,6.9375,0.000190532227861695,0.0010000000474974513,,,1.0,749,7.301025390625
,,,,,,0.00020265367316341839,0.001,,799,
0,0.5923142433166504,0.9204392433166504,6.5625,0.00020290105021558702,0.0010000000474974513,,,1.0,799,6.9595947265625
,,,,,,0.00021502248875562223,0.001,,849,
0,0.5632187724113464,0.9069687724113464,6.875,0.00021526985801756382,0.0010000000474974513,,,1.0,849,6.8780517578125
,,,,,,0.00022739130434782612,0.001,,899,
0,0.5851923227310181,0.9035516977310181,6.375,0.00022763868037145585,0.0010000000474974513,,,1.0,899,6.781005859375
,,,,,,0.00023976011994002994,0.001,,949,
0,0.5449824333190918,0.8828730583190918,6.75,0.00024000750272534788,0.0010000000474974513,,,1.0,949,7.1131591796875
,,,,,,0.0002521289355322338,0.001,,999,
0,0.5747990608215332,0.9146428108215332,6.78125,0.0002523763105273247,0.0010000000474974513,,,1.0,999,7.083251953125
,,,,,,0.00026449775112443754,0.001,,1049,
0,0.5478004217147827,0.9052222967147827,7.15625,0.0002647451183293015,0.0010000000474974513,,,1.0,1049,7.0516357421875
,,,,,,0.0002768665667166411,0.001,,1099,
0,0.5726178884506226,0.9026960134506226,6.59375,0.00027711395523510873,0.0010000000474974513,,,1.0,1099,7.0458984375
,,,,,,0.00028923538230884495,0.001,,1149,
0,0.5376553535461426,0.8716397285461426,6.6875,0.00028948276303708553,0.0010000000474974513,,,1.0,1149,6.757568359375
,,,,,,0.0003016041979010485,0.001,,1199,
0,0.5520853996276855,0.8997416496276855,6.9375,0.00030185157083906233,0.0010000000474974513,,,1.0,1199,7.006591796875
