name,lp_best,lp_best_ep,knn_best,rankme_last,d_lp_vs_base,d_knn_vs_base
baseline_100,0.863815188407898,80,0.8452964425086975,220.82623291015625,0.0,0.0
idea4_uniformity_100,0.8622297048568726,90,0.8318612575531006,237.48472595214844,-0.0016,-0.0134
idea7_dyntanh_100,0.5427188277244568,94,0.5003540515899658,76.5968017578125,-0.3211,-0.3449
idea3_codingrate_100,0.4710208177566528,11,0.4024141728878021,63.35181427001953,-0.3928,-0.4429
